What are the template type descriptions for template type codes greater than 'A'?,SELECT Template_Type_Description FROM Ref_Template_Types WHERE Template_Type_Code > 'A',SELECT Template_Type_Description FROM Ref_Template_Types WHERE Template_Type_Code > 'A',cre_Doc_Template_Mgt
What are the template type codes in the Templates table that are not T001?,SELECT Template_Type_Code FROM Templates WHERE Template_Type_Code NOT IN (SELECT Template_Type_Code FROM Ref_Template_Types WHERE Template_Type_Code = 'T001'),SELECT Template_Type_Code FROM Templates WHERE Template_Type_Code NOT IN (SELECT Template_Type_Code FROM Ref_Template_Types WHERE Template_Type_Code = 'T001'),cre_Doc_Template_Mgt
"What are the template IDs and version numbers of the templates with IDs between 10 and 20, or equal to 30, or less than 40, listing from the 11th to the 20th such templates?","SELECT Template_ID, Version_Number FROM Templates WHERE (Template_ID BETWEEN 10 AND 20 OR Template_ID = 30 OR Template_ID < 40) LIMIT 10","SELECT Template_ID, Version_Number FROM Templates WHERE Template_ID BETWEEN 10 AND 20 OR Template_ID = 30 OR Template_ID < 40 LIMIT 10",cre_Doc_Template_Mgt
What are the template type descriptions for template type codes greater than 'A'?,SELECT Template_Type_Description FROM Ref_Template_Types WHERE Template_Type_Code > 'A',SELECT Template_Type_Description FROM Ref_Template_Types AS T1 WHERE Template_Type_Code > 'A',cre_Doc_Template_Mgt
"How many unique Template IDs and total Templates of TypeA with a version between 1 and 10 are associated with a document, listed in descending order of Template ID?","SELECT COUNT(DISTINCT T1.Template_ID), COUNT(*) FROM Templates AS T1 WHERE T1.Template_Type_Code = 'TypeA' AND T1.Version_Number BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM Documents AS T2 WHERE T2.Template_ID = T1.Template_ID)","SELECT COUNT(DISTINCT T1.Template_ID), COUNT(*) FROM Templates AS T1 WHERE T1.Template_Type_Code = 'TypeA' AND T1.Version_Number BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM Documents AS T2 WHERE T2.Template_ID = T1.Template_ID) ORDER BY T1.Template_ID DESC",cre_Doc_Template_Mgt
"How many unique template IDs, version numbers, and template type codes are there for type1 templates with version number greater than 1 and are used in the 'name1' document, sorted by template ID in ascending order?","SELECT COUNT(DISTINCT T1.Template_ID), COUNT(DISTINCT T1.Version_Number), COUNT(DISTINCT T1.Template_Type_Code) FROM Templates AS T1 WHERE T1.Template_Type_Code = 'type1' AND T1.Version_Number > 1 AND T1.Template_ID IN (SELECT T2.Template_ID FROM Documents AS T2 WHERE T2.Document_Name = 'name1')","SELECT COUNT(DISTINCT T1.Template_ID) , COUNT(DISTINCT T1.Version_Number) , COUNT(DISTINCT T1.Template_Type_Code) FROM Templates AS T1 WHERE T1.Template_Type_Code = 'type1' AND T1.Version_Number > 1 AND T1.Template_ID IN ( SELECT T2.Template_ID FROM Documents AS T2 WHERE T2.Document_Name = 'name1' ) ORDER BY T1.Template_ID ASC",cre_Doc_Template_Mgt
"What are the template type descriptions and the corresponding number of unique template IDs for templates with a version number greater than 1, listed in ascending order by the count of unique template IDs?","SELECT T2.Template_Type_Description, COUNT(DISTINCT T1.Template_ID) AS DistinctTemplateCount FROM Templates AS T1 INNER JOIN Ref_Template_Types AS T2 ON T1.Template_Type_Code = T2.Template_Type_Code WHERE T1.Version_Number > 1 GROUP BY T2.Template_Type_Description ORDER BY DistinctTemplateCount ASC","SELECT Template_Type_Description, COUNT(DISTINCT Template_ID) FROM Templates AS T1 INNER JOIN Ref_Template_Types AS T2 ON T1.Template_Type_Code = T2.Template_Type_Code WHERE T1.Version_Number > 1 GROUP BY T2.Template_Type_Description ORDER BY COUNT(DISTINCT Template_ID) ASC",cre_Doc_Template_Mgt
"How many unique template IDs are there in the documents that use a template of type 'A', listed in ascending order of document ID?",SELECT COUNT(DISTINCT Template_ID) FROM Documents WHERE Template_ID IN (SELECT Template_ID FROM Templates WHERE Template_Type_Code = 'A'),SELECT COUNT(DISTINCT Template_ID) FROM Documents WHERE Template_ID IN (SELECT Template_ID FROM Templates WHERE Template_Type_Code = 'A') ORDER BY Document_ID ASC,cre_Doc_Template_Mgt
"What are the counts of unique document names, unique document descriptions, and template IDs for documents that either have templates of type 'type1', or have document IDs between 10 and 20, or have template versions greater than 5, showing 10 records starting from the 11th record?","SELECT COUNT(DISTINCT T1.Document_Name), COUNT(DISTINCT T1.Document_Description), COUNT(DISTINCT T2.Template_ID) FROM Documents AS T1 LEFT JOIN Templates AS T2 ON T1.Template_ID = T2.Template_ID WHERE T2.Template_Type_Code = 'type1' OR T1.Document_ID BETWEEN 10 AND 20 OR T2.Version_Number > 5","SELECT COUNT(DISTINCT Documents.Document_Name) , COUNT(DISTINCT Documents.Document_Description) , COUNT(Templates.Template_ID) FROM Documents AS T1 LEFT JOIN Templates AS T2 ON T1.Template_ID = T2.Template_ID WHERE T2.Template_Type_Code = 'type1' OR T1.Document_ID BETWEEN 10 AND 20 OR T2.Version_Number > 5 LIMIT 10",cre_Doc_Template_Mgt
"What are the last 10 template type descriptions in descending order, excluding the first 10, for template type codes between 'A' and 'Z'?",SELECT Template_Type_Description FROM Ref_Template_Types WHERE Template_Type_Code BETWEEN 'A' AND 'Z' ORDER BY Template_Type_Description DESC LIMIT 10,SELECT Template_Type_Description FROM Ref_Template_Types WHERE Template_Type_Code BETWEEN 'A' AND 'Z' ORDER BY Template_Type_Description DESC LIMIT 10,cre_Doc_Template_Mgt
What is the version number of the template used by the document containing the paragraph with the text 'Sample Text'?,SELECT Version_Number FROM Templates WHERE Template_ID = (SELECT Template_ID FROM Documents WHERE Document_ID = (SELECT Document_ID FROM Paragraphs WHERE Paragraph_Text = 'Sample Text')),SELECT Version_Number FROM Templates WHERE Template_ID = ( SELECT Document_ID FROM Paragraphs WHERE Paragraph_Text = 'Sample Text' ),cre_Doc_Template_Mgt
"What are the names of employees who are between 20 and 30 years old, or live in the same city as a shop located in the 'North' district, or are named 'John'?",SELECT Name FROM employee WHERE Age BETWEEN 20 AND 30 OR City IN (SELECT Location FROM shop WHERE District = 'North') OR Name = 'John',SELECT Name FROM employee WHERE Age BETWEEN 20 AND 30 OR City IN (SELECT Location FROM shop WHERE District = 'North') OR Name = 'John',employee_hire_evaluation
How many distinct employee names are there for full-time employees hired in shops?,SELECT COUNT(DISTINCT T1.Name) FROM employee AS T1 JOIN hiring AS T2 ON T1.Employee_ID = T2.Employee_ID JOIN shop AS T3 ON T2.Shop_ID = T3.Shop_ID WHERE T2.Is_full_time = 'yes',SELECT COUNT(DISTINCT T1.Name) FROM employee AS T1 JOIN hiring AS T2 ON T1.Employee_ID = T2.Employee_ID JOIN shop AS T3 ON T2.Shop_ID = T3.Shop_ID WHERE T2.Is_full_time = 'yes',employee_hire_evaluation
"What information is available for employees who have received at least one bonus greater than the average bonus, listed in ascending order by employee ID?",SELECT * FROM employee WHERE EXISTS (SELECT 1 FROM evaluation WHERE evaluation.Employee_ID = employee.Employee_ID AND evaluation.Bonus > (SELECT AVG(Bonus) FROM evaluation)) ORDER BY employee.Employee_ID ASC,SELECT * FROM employee WHERE EXISTS (SELECT 1 FROM evaluation WHERE evaluation.Employee_ID = employee.Employee_ID AND evaluation.Bonus > (SELECT AVG(Bonus) FROM evaluation)) ORDER BY employee.Employee_ID ASC,employee_hire_evaluation
What are the names of the 11th to 20th oldest employees who are 30 years old or younger?,SELECT Name FROM employee WHERE Age <= 30 ORDER BY Age DESC LIMIT 10,SELECT Name FROM employee WHERE Age <= 30 ORDER BY Age DESC LIMIT 10,employee_hire_evaluation
What are the names of employees and the number of times they were hired before 2020?,"SELECT T1.Name, COUNT(T2.Employee_ID) AS Hiring_Count FROM employee AS T1 JOIN hiring AS T2 ON T1.Employee_ID = T2.Employee_ID WHERE T2.Start_from < '2020-01-01' GROUP BY T1.Name","SELECT T1.Name, COUNT(T2.Employee_ID) FROM employee AS T1 JOIN hiring AS T2 ON T1.Employee_ID = T2.Employee_ID WHERE T2.Start_from < '2020-01-01'",employee_hire_evaluation
"Which employees have worked in more than one shop, and list them in ascending order by name along with the number of distinct shops they have worked in?","SELECT T1.Name, COUNT(DISTINCT T2.Shop_ID) AS Num_Shops FROM employee AS T1 JOIN hiring AS T2 ON T1.Employee_ID = T2.Employee_ID GROUP BY T1.Name HAVING COUNT(DISTINCT T2.Shop_ID) > 1 ORDER BY T1.Name ASC","SELECT T1.Name, COUNT(DISTINCT T2.Shop_ID) FROM employee AS T1 JOIN hiring AS T2 ON T1.Employee_ID = T2.Employee_ID GROUP BY T1.Name HAVING COUNT(DISTINCT T2.Shop_ID) > 1 ORDER BY T1.Name ASC",employee_hire_evaluation
"What are the names of shops in the same city as employees with a total age of more than 50, listed from the 11th to the 20th shop?","SELECT T2.Name, SUM(T1.Age) FROM employee AS T1 JOIN shop AS T2 ON T1.City = T2.Location GROUP BY T2.Name HAVING SUM(T1.Age) > 50 LIMIT 10","SELECT T2.Name, SUM(T1.Age) FROM employee AS T1 JOIN shop AS T2 ON T1.City = T2.Location GROUP BY T2.Name HAVING SUM(T1.Age) > 50 LIMIT 10",employee_hire_evaluation
"How many employees between 20 and 30 years old are there, and what is the total number of products in the shops they work at?","SELECT COUNT(T1.Employee_ID), SUM(T3.Number_products) FROM employee AS T1 INNER JOIN hiring AS T2 ON T1.Employee_ID = T2.Employee_ID INNER JOIN shop AS T3 ON T2.Shop_ID = T3.Shop_ID WHERE T1.Age BETWEEN 20 AND 30","SELECT COUNT(T1.Employee_ID), SUM(T3.Number_products) FROM employee AS T1 INNER JOIN hiring AS T2 ON T1.Employee_ID = T2.Employee_ID INNER JOIN shop AS T3 ON T2.Shop_ID = T3.Shop_ID WHERE T1.Age BETWEEN 20 AND 30",employee_hire_evaluation
How many employees are not from New York?,SELECT COUNT(T1.Age) FROM employee AS T1 WHERE T1.City != 'New York',SELECT COUNT(T1.Age) FROM employee AS T1 WHERE T1.City != 'New York',employee_hire_evaluation
"What are the employee IDs and their total bonuses for employees who have a total bonus greater than 10,000 or have an employee ID between 1 and 10 or have an employee ID of 5, sorted by employee ID in ascending order?","SELECT Employee_ID, SUM(Bonus) AS Total_Bonus FROM evaluation GROUP BY Employee_ID HAVING SUM(Bonus) > 10000 OR Employee_ID BETWEEN 1 AND 10 ORDER BY Employee_ID ASC","SELECT Employee_ID, SUM(Bonus) FROM evaluation GROUP BY Employee_ID HAVING SUM(Bonus) > 10000 OR Employee_ID BETWEEN 1 AND 10 OR Employee_ID = 5 ORDER BY Employee_ID ASC",employee_hire_evaluation
What are the names of the 11th to 20th youngest employees who are not 25 years old?,SELECT Name FROM employee WHERE Age != 25 ORDER BY Age ASC LIMIT 10,SELECT Name FROM employee WHERE Age != 25 ORDER BY Age ASC LIMIT 10,employee_hire_evaluation
What are the names of employees who are 25 years old or younger?,SELECT Name FROM employee WHERE Age <= 25,SELECT Name FROM employee WHERE Age <= 25,employee_hire_evaluation
"What is the total number of products in the shops where each employee under 30 works, listed in ascending order by employee name?","SELECT T1.Name, SUM(T2.Number_products) AS Total_Products FROM employee AS T1 JOIN hiring AS T3 ON T1.Employee_ID = T3.Employee_ID JOIN shop AS T2 ON T3.Shop_ID = T2.Shop_ID WHERE T1.Age < 30 GROUP BY T1.Name ORDER BY T1.Name ASC","SELECT T1.Name, SUM(T2.Number_products) FROM employee AS T1 JOIN hiring AS T3 ON T1.Employee_ID = T3.Employee_ID JOIN shop AS T2 ON T3.Shop_ID = T2.Shop_ID WHERE T1.Age < 30 ORDER BY T1.Name ASC",employee_hire_evaluation
What is the total of the vendor requested prices for all properties?,SELECT SUM(vendor_requested_price) FROM Properties,SELECT SUM(vendor_requested_price) FROM Properties,real_estate_properties
What are the feature type names for features with id 1 or name 'feature' or that are not included in any property features?,SELECT T1.feature_type_name FROM Ref_Feature_Types AS T1 JOIN Other_Available_Features AS T2 ON T1.feature_type_code = T2.feature_type_code WHERE T2.feature_id = 1 OR T2.feature_name = 'feature' OR NOT EXISTS (SELECT 1 FROM Other_Property_Features AS T3 WHERE T3.feature_id = T2.feature_id),SELECT T1.feature_type_name FROM Ref_Feature_Types AS T1 JOIN Other_Available_Features AS T2 ON T1.feature_type_code = T2.feature_type_code WHERE T2.feature_id = 1 OR T2.feature_name = 'feature' OR NOT EXISTS (SELECT 1 FROM Other_Property_Features AS T3 WHERE T3.feature_id = T2.feature_id),real_estate_properties
What are the feature type names for feature type codes greater than or equal to 'type_code'?,SELECT feature_type_name FROM Ref_Feature_Types WHERE feature_type_code >= 'type_code',SELECT feature_type_name FROM Ref_Feature_Types WHERE feature_type_code >= 'type_code',real_estate_properties
"What are the IDs of the other available features that have a feature type code not found in the reference feature types, listed in ascending order?",SELECT feature_id FROM Other_Available_Features WHERE feature_type_code NOT IN (SELECT feature_type_code FROM Ref_Feature_Types) ORDER BY feature_id ASC,SELECT feature_id FROM Other_Available_Features WHERE feature_type_code NOT IN (SELECT feature_type_code FROM Ref_Feature_Types) ORDER BY feature_id ASC,real_estate_properties
What is the total vendor requested price of the properties where the agreed selling price is higher than the vendor requested price?,SELECT SUM(T1.vendor_requested_price) FROM Properties AS T1 JOIN Other_Property_Features AS T2 ON T1.property_id = T2.property_id WHERE T1.agreed_selling_price > T1.vendor_requested_price,SELECT SUM(T1.vendor_requested_price) FROM Properties AS T1 JOIN Other_Property_Features AS T2 ON T1.property_id = T2.property_id WHERE T1.agreed_selling_price > T1.vendor_requested_price,real_estate_properties
What are the feature type names for feature types that have codes greater than or equal to 'P' and names starting with 'A' or later in the alphabet?',SELECT feature_type_name FROM Ref_Feature_Types WHERE feature_type_code >= 'P' AND feature_type_name >= 'A',SELECT feature_type_name FROM Ref_Feature_Types WHERE feature_type_code >= 'P' AND feature_type_name >= 'A',real_estate_properties
"What are the names of the feature types with a code of 10 or less, listed in descending order?",SELECT feature_type_name FROM Ref_Feature_Types WHERE CAST(feature_type_code AS INTEGER) <= 10 ORDER BY feature_type_name DESC,SELECT feature_type_name FROM Ref_Feature_Types WHERE feature_type_code <= 10 ORDER BY feature_type_name DESC,real_estate_properties
What are the counts of the 6th to 10th feature ids in other available features that do not match any feature type codes in the reference feature types? ,SELECT COUNT(feature_id) FROM Other_Available_Features WHERE feature_type_code NOT IN (SELECT feature_type_code FROM Ref_Feature_Types),SELECT COUNT(feature_id) FROM Other_Available_Features WHERE feature_type_code NOT IN ( SELECT feature_type_code FROM Ref_Feature_Types ) LIMIT 5,real_estate_properties
What are the names of feature types for features with IDs less than 100?,SELECT T1.feature_type_name FROM Ref_Feature_Types AS T1 JOIN Other_Available_Features AS T2 ON T1.feature_type_code = T2.feature_type_code WHERE T2.feature_id < 100,SELECT T1.feature_type_name FROM Ref_Feature_Types AS T1 JOIN Other_Available_Features AS T2 ON T1.feature_type_code = T2.feature_type_code WHERE T2.feature_id < 100,real_estate_properties
What are the breed names of breeds whose total age of dogs is less than or equal to 10 years old?,SELECT T1.breed_name FROM Breeds AS T1 WHERE T1.breed_code NOT IN (SELECT T2.breed_code FROM Dogs AS T2 GROUP BY T2.breed_code HAVING SUM(T2.age) > 10),SELECT T1.breed_name FROM Breeds AS T1 WHERE T1.breed_code NOT IN ( SELECT T2.breed_code FROM Dogs AS T2 GROUP BY T2.breed_code HAVING SUM(T2.age) > 10),dog_kennels
"How many different types of treatments were given after January 1, 2020?",SELECT COUNT(DISTINCT T1.treatment_type_code) FROM Treatments AS T1 WHERE T1.date_of_treatment > '2020-01-01',SELECT COUNT(DISTINCT T1.treatment_type_code) FROM Treatments AS T1 WHERE T1.date_of_treatment > '2020-01-01',dog_kennels
What are the dog IDs of the dogs that have not received any treatments?,SELECT dog_id FROM Dogs WHERE NOT EXISTS (SELECT 1 FROM Treatments WHERE Treatments.dog_id = Dogs.dog_id),SELECT T1.dog_id FROM Dogs AS T1 JOIN Dogs AS T2 ON T1.dog_id = T2.dog_id WHERE NOT EXISTS (SELECT 1 FROM Treatments WHERE Treatments.dog_id = T1.dog_id),dog_kennels
What are the breed names and breed codes of all breeds in descending order by breed code?,"SELECT breed_name, breed_code FROM Breeds ORDER BY breed_code DESC","SELECT breed_name, breed_code FROM Breeds ORDER BY breed_code DESC",dog_kennels
What are the IDs of the dogs that are Labradors?,SELECT T1.dog_id FROM Dogs AS T1 WHERE T1.breed_code IN (SELECT T2.breed_code FROM Breeds AS T2 WHERE T2.breed_name = 'Labrador'),SELECT T1.dog_id FROM Dogs AS T1 WHERE T1.breed_code IN (SELECT T2.breed_code FROM Breeds AS T2 WHERE T2.breed_name = 'Labrador'),dog_kennels
"What are the details of all owners with the last name 'Smith', or the first name 'John', or email addresses starting with letters between 'a' and 'z'?",SELECT * FROM Owners WHERE last_name = 'Smith' OR first_name = 'John' OR (email_address >= 'a' AND email_address <= 'z'),SELECT * FROM Owners WHERE last_name = 'Smith' OR first_name = 'John' OR email_address BETWEEN 'a' AND 'z',dog_kennels
"What are the next 10 treatment types with distinct treatment type codes in ascending order, after the first 10, that have treatment type descriptions less than or equal to 'some description'?",SELECT COUNT(DISTINCT T1.treatment_type_code) FROM Treatments AS T1 JOIN Treatment_Types AS T2 ON T1.treatment_type_code = T2.treatment_type_code WHERE T2.treatment_type_description <= 'some description',SELECT COUNT(DISTINCT T1.treatment_type_code) FROM Treatments AS T1 JOIN Treatment_Types AS T2 ON T1.treatment_type_code = T2.treatment_type_code WHERE T2.treatment_type_description <= 'some description' ORDER BY T1.treatment_type_code ASC LIMIT 10,dog_kennels
What are the breeds of dogs other than 'Mixed'?,SELECT breed_name FROM Breeds WHERE breed_name != 'Mixed',SELECT breed_name FROM Breeds WHERE breed_name != 'Mixed',dog_kennels
"What is the count of dogs that received a treatment, grouped by breed name?","SELECT COUNT(T1.dog_id) AS num_dogs, T2.breed_name FROM Dogs AS T1 JOIN Breeds AS T2 ON T1.breed_code = T2.breed_code WHERE EXISTS (SELECT 1 FROM Treatments AS T3 WHERE T3.dog_id = T1.dog_id) GROUP BY T2.breed_name","SELECT COUNT(T1.dog_id), T2.breed_name FROM Dogs AS T1 JOIN Breeds AS T2 ON T1.breed_code = T2.breed_code WHERE EXISTS (SELECT T3.treatment_id FROM Treatments AS T3 WHERE T3.dog_id = T1.dog_id)",dog_kennels
"How many tv channels with series name 'ABC', country 'USA', or cartoon titles from A to Z are there and what are the corresponding cartoon titles?","SELECT COUNT(T1.id) AS count_id, T2.Title FROM TV_Channel AS T1 JOIN Cartoon AS T2 ON T1.id = T2.Channel WHERE T1.series_name = 'ABC' OR T2.Title BETWEEN 'A' AND 'Z' OR T1.Country = 'USA' GROUP BY T2.Title","SELECT COUNT(T1.id) AS count_id, T2.Title FROM TV_Channel AS T1 JOIN Cartoon AS T2 ON T1.id = T2.Channel WHERE T1.series_name = 'ABC' OR T2.Title BETWEEN 'A' AND 'Z' OR T1.Country = 'USA'",tvshow
How many TV channels have TV series with viewers between 1 million and 1000 million?,SELECT COUNT(T1.id) FROM TV_Channel AS T1 JOIN TV_series AS T2 ON T1.id = T2.Channel WHERE T2.Viewers_m BETWEEN '1' AND '1000',SELECT COUNT(T1.id) FROM TV_Channel AS T1 JOIN TV_series AS T2 ON T1.id = T2.Channel WHERE T2.Viewers_m BETWEEN 1 AND 1000,tvshow
What are the IDs of TV channels with IDs greater than 100?,SELECT T1.id FROM TV_Channel AS T1 WHERE T1.id > '100',SELECT T1.id FROM TV_Channel AS T1 WHERE T1.id > '100',tvshow
What are the series names and their respective maximum country values of the next 5 TV channels when ordered alphabetically by series name?,"SELECT T1.series_name AS series_name, MAX(T1.Country) AS max_country FROM TV_Channel AS T1 GROUP BY T1.series_name ORDER BY T1.series_name ASC LIMIT 5","SELECT T1.series_name AS series_name, MAX(T1.Country) FROM TV_Channel AS T1 GROUP BY T1.series_name ORDER BY T1.series_name ASC LIMIT 5",tvshow
"How many unique TV channel series names are there, and how many TV series and cartoons are there in total?","SELECT COUNT(DISTINCT T1.series_name), COUNT(DISTINCT T2.id), COUNT(DISTINCT T3.id) FROM TV_Channel AS T1 JOIN TV_series AS T2 ON T1.id = T2.Channel JOIN Cartoon AS T3 ON T1.id = T3.Channel","SELECT COUNT(DISTINCT T1.series_name), COUNT(T2.id), COUNT(T3.id) FROM TV_Channel AS T1 JOIN TV_series AS T2 ON T1.id = T2.Channel JOIN Cartoon AS T3 ON T1.id = T3.Channel",tvshow
What are the titles of the cartoons that air on channel 'CN' or are titled 'The Amazing World of Gumball'?,SELECT Title FROM Cartoon WHERE Channel = 'CN' OR Title = 'The Amazing World of Gumball',SELECT Title FROM Cartoon WHERE Channel = 'CN' OR Title = 'The Amazing World of Gumball',tvshow
"What are the ids of the TV channels that do not have a TV series with episode 2, listed in descending order by id?",SELECT id FROM TV_Channel WHERE id NOT IN (SELECT Channel FROM TV_series WHERE Episode = '2') ORDER BY id DESC,SELECT id FROM TV_Channel WHERE id NOT IN (SELECT Channel FROM TV_series WHERE Episode = '2') ORDER BY id DESC,tvshow
"What is the average number of viewers for each series of TV channels, excluding BBC?",SELECT AVG(T1.Viewers_m) AS Average_Viewers FROM TV_series AS T1 JOIN TV_Channel AS T2 ON T1.Channel = T2.id WHERE T1.Channel != 'BBC' GROUP BY T2.series_name,SELECT AVG(T1.Viewers_m) FROM TV_series AS T1 JOIN TV_Channel AS T2 ON T2.id = T1.Channel WHERE T1.Channel != 'BBC' GROUP BY T2.series_name,tvshow
