query
"{'hash': 'ca110d3668b2b0c83a23a136486b5ce108d3223a', 'query': 'SELECT id, name FROM countries', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE#'}"
"{'hash': '5e35dcc1f125082a34f5b0bdd9c3418f6b2c50cc', 'query': 'SELECT T1.name FROM languages AS T1 JOIN official_languages AS T2 ON T1.id = T2.language_id JOIN countries AS T3 ON T2.country_id = T3.id WHERE T3.overall_score < (SELECT AVG(overall_score) FROM countries)', 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# < (SELECT AVG(#COLUMN#) FROM #TABLE#)'}"
"{'hash': 'e770fa1fe44eff7cc2e5ba44c5dbbb9e04f1a24b', 'query': 'SELECT T1.name, T2.name FROM languages AS T1 JOIN official_languages AS T2 ON T1.id = T2.language_id JOIN countries AS T3 ON T2.country_id = T3.id WHERE T3.overall_score != 100 ORDER BY T3.overall_score ASC LIMIT 5', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# != #VALUE# ORDER BY #COLUMN# ASC LIMIT #VALUE#'}"
"{'hash': '1f8549ca03b4ccb174a584e905d80214f1d89cde', 'query': 'SELECT T1.name, T2.name FROM languages AS T1 JOIN official_languages AS T2 ON T1.id = T2.language_id JOIN countries AS T3 ON T2.country_id = T3.id WHERE T1.id IN (SELECT id FROM official_languages WHERE country_id = 1) AND T3.overall_score BETWEEN 50 AND 100 LIMIT 10', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#) AND #COLUMN# BETWEEN #VALUE# AND #VALUE# LIMIT #VALUE#'}"
"{'hash': '6f8993263494dcb855e921b833709597d571edb4', 'query': 'SELECT T1.name FROM languages AS T1 JOIN official_languages AS T2 ON T1.id = T2.language_id JOIN countries AS T3 ON T2.country_id = T3.id WHERE T3.overall_score > 80 ORDER BY T1.name DESC', 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': 'f569cc720aecff3ba4b6ac27d3d039c0b8b7b986', 'query': 'SELECT T1.name FROM languages AS T1 WHERE EXISTS (SELECT 1 FROM official_languages AS T2 WHERE T2.language_id = T1.id AND T2.country_id = 1)', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN# AND #COLUMN# = #VALUE#)'}"
"{'hash': '1fd7561fbdacf42aef30821f4ef180d3b05d7bf2', 'query': 'SELECT COUNT(DISTINCT T1.name), SUM(T2.overall_score) FROM languages AS T1 JOIN official_languages AS T3 ON T1.id = T3.language_id JOIN countries AS T2 ON T2.id = T3.country_id WHERE T2.overall_score < 70', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# < #VALUE#'}"
"{'hash': '37f73e69948b8a6ba5cd3bf6ab78f0d6d4c1d64a', 'query': ""SELECT T1.name, COUNT(T2.name) FROM languages AS T1 JOIN official_languages AS T2 ON T1.id = T2.language_id WHERE T1.name >= 'English' GROUP BY T1.name ORDER BY COUNT(T2.name) DESC"", 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# >= #VALUE# GROUP BY #COLUMN# ORDER BY COUNT(#COLUMN#) DESC'}"
"{'hash': '9c4695c21492ee9c9f69056201c947c0097780dd', 'query': ""SELECT T1.name, AVG(T2.overall_score) FROM languages AS T1 JOIN official_languages AS T3 ON T1.id = T3.language_id JOIN countries AS T2 ON T2.id = T3.country_id WHERE T1.name = 'English' AND T2.overall_score BETWEEN 80 AND 100 GROUP BY T1.name HAVING COUNT(DISTINCT T2.id) > 5 ORDER BY T1.name DESC"", 'template': 'SELECT #COLUMN#, AVG(#COLUMN#) FROM #TABLE# AS T1 JOIN #TABLE# AS T3 ON #COLUMN# = #COLUMN# JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# AND #COLUMN# BETWEEN #VALUE# AND #VALUE# GROUP BY #COLUMN# HAVING COUNT(DISTINCT #COLUMN#) > #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': '24c2472dfc398041445f2e39f5464c8c81788f55', 'query': 'SELECT T1.name AS language_name FROM countries AS T1 ORDER BY T1.name DESC', 'template': 'SELECT #COLUMN# AS #COLUMN# FROM #TABLE# ORDER BY #COLUMN# DESC'}"
"{'hash': '43cdbeb8f3522eeb340962007351d6f3e7941a05', 'query': 'SELECT T1.name FROM languages AS T1 JOIN official_languages AS T2 ON T1.id = T2.language_id WHERE NOT EXISTS (SELECT T3.name FROM countries AS T3 WHERE T3.id = T2.country_id) GROUP BY T1.name HAVING MAX(T3.overall_score) IS NULL ORDER BY T1.name DESC LIMIT 10', 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE NOT EXISTS (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #COLUMN#) GROUP BY #COLUMN# HAVING MAX(#COLUMN#) IS NULL ORDER BY #COLUMN# DESC LIMIT #VALUE#'}"
"{'hash': '98217f9e9a0b35c7069b9cb2eec9cefefc668bec', 'query': 'SELECT T1.name, SUM(T2.overall_score) FROM languages AS T1 JOIN official_languages AS T3 ON T1.id = T3.language_id JOIN countries AS T2 ON T2.id = T3.country_id GROUP BY T1.name ORDER BY SUM(T2.overall_score) DESC', 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# GROUP BY #COLUMN# ORDER BY SUM(#COLUMN#) DESC'}"
"{'hash': 'a060ec9c25bae2b97afd04ebb965f12004373d28', 'query': 'SELECT T1.name, T2.name FROM languages AS T1 JOIN official_languages AS T2 ON T1.id = T2.language_id ORDER BY T2.name ASC LIMIT 10', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# ORDER BY #COLUMN# ASC LIMIT #VALUE#'}"
"{'hash': '23f7a7871a08b644fa86e38a33b8998824de1b16', 'query': 'SELECT COUNT(T1.id) , T2.name FROM countries AS T1 INNER JOIN official_languages AS T2 ON T1.id = T2.country_id WHERE T1.overall_score <= 50', 'template': 'SELECT COUNT(#COLUMN#) , #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# <= #VALUE#'}"
"{'hash': '188b0a503a5851468d3a9173723832f9b9ce38ab', 'query': 'SELECT T2.name FROM official_languages AS T1 JOIN languages AS T2 ON T1.language_id = T2.id JOIN countries AS T3 ON T3.id = T1.country_id WHERE T3.overall_score <= 50 ORDER BY T2.name DESC', 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# <= #VALUE# ORDER BY #COLUMN# DESC'}"
