query
"{'hash': '290ba8e058086dd5fb0396da36244f640c4b891d', 'query': 'SELECT COUNT(*) FROM Ref_Characteristic_Types AS T1', 'template': 'SELECT COUNT(*) FROM #TABLE# AS #TABLE#'}"
"{'hash': '2565c13f739135b73466d5df8f848b5149d716cb', 'query': ""SELECT MAX(T1.typical_buying_price) , MIN(T1.typical_buying_price) FROM Products AS T1 JOIN Product_Characteristics AS T2 ON T1.product_id = T2.product_id WHERE T1.typical_selling_price BETWEEN 100 AND 200 AND T1.product_name = 'product_name' LIMIT 10"", 'template': 'SELECT MAX(#COLUMN#) , MIN(#COLUMN#) FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# = #VALUE# LIMIT #VALUE#'}"
"{'hash': 'ba83ff4801bf5e17caa2820b4dad2d0c551fa079', 'query': 'SELECT COUNT(DISTINCT characteristic_id) , COUNT(DISTINCT characteristic_type_code) FROM Characteristics ORDER BY characteristic_id DESC', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#) FROM #TABLE# ORDER BY #COLUMN# DESC'}"
"{'hash': '4763b89d4d4f307ed93bcd7bfc0f9a4c65918eec', 'query': 'SELECT T1.characteristic_name FROM Characteristics AS T1 JOIN Characteristics AS T2 ON T1.characteristic_type_code = T2.characteristic_type_code WHERE T1.characteristic_id >= T2.characteristic_id ORDER BY T1.characteristic_name DESC', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# >= #COLUMN# ORDER BY #COLUMN# DESC'}"
"{'hash': 'ec48a97467998b6611a92f7f59deeee912e87199', 'query': ""SELECT T1.product_name FROM Products AS T1 WHERE NOT EXISTS (SELECT 1 FROM Product_Characteristics AS T2 WHERE T1.product_id = T2.product_id AND T2.product_characteristic_value = 'S') ORDER BY T1.product_name ASC"", 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 WHERE NOT EXISTS (SELECT 1 FROM #TABLE# AS T2 WHERE T1.#COLUMN# = T2.#COLUMN# AND T2.#COLUMN# = #VALUE#) ORDER BY T1.#COLUMN# ASC'}"
"{'hash': '875c0aa981a053bd2c95c2749b34f2122c264b17', 'query': ""SELECT * FROM Ref_Product_Categories WHERE product_category_code = ' Electronics' OR product_category_description = 'Electronics' OR product_category_code NOT IN (SELECT product_category_code FROM Products WHERE product_name = 'Laptop') LIMIT 10"", 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE# OR #COLUMN# = #VALUE# OR #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#) LIMIT #VALUE#'}"
"{'hash': 'cc3bbb3208fbeef7b56b4946fd28c7f1f41b02ba', 'query': ""SELECT COUNT(DISTINCT characteristic_name), product_name FROM Characteristics AS T1 JOIN Products AS T2 ON T1.characteristic_id = T2.product_id WHERE T1.characteristic_name = 'Size' OR T1.characteristic_name = 'Weight' LIMIT 10"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# OR #COLUMN# = #VALUE# LIMIT #VALUE#'}"
"{'hash': '76735bea97b103a5e0f2583c7e65f8815ce64876', 'query': ""SELECT T1.product_name, T2.product_characteristic_value FROM Products AS T1 JOIN Product_Characteristics AS T2 ON T1.product_id = T2.product_id WHERE T1.product_name = 'Apple' AND T2.product_characteristic_value = 'Large'"", 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# AND #COLUMN# = #VALUE#'}"
"{'hash': 'b0812a4d8f6ca5a466b8fa1c8499fa7c8b1e4f99', 'query': 'SELECT T1.product_name, T2.product_name FROM Products AS T1 JOIN Products AS T2 ON T1.product_id = T2.product_id ORDER BY T1.product_name ASC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# ORDER BY #COLUMN# ASC'}"
"{'hash': '607ab83089b77d83cdccfef323e702f17fb2b220', 'query': 'SELECT COUNT(DISTINCT T1.characteristic_type_code) AS count_distinct_characteristic_type_code FROM Characteristics AS T1 JOIN Product_Characteristics AS T2 ON T1.characteristic_id = T2.characteristic_id', 'template': 'SELECT COUNT(DISTINCT #COLUMN#) AS count_distinct_#COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN#'}"
"{'hash': 'ba35a14a103a2d165ee13f7cd972728c3edefa49', 'query': 'SELECT T1.product_name, SUM(T2.product_characteristic_value) FROM Products AS T1 JOIN Product_Characteristics AS T2 ON T1.product_id = T2.product_id WHERE T1.typical_buying_price BETWEEN 10 AND 50 AND T2.product_characteristic_value > 100', 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# > #VALUE#'}"
"{'hash': 'a303059deee0a5383e96d42c28fcd4ae9cdbb1cc', 'query': 'SELECT T1.product_name, T2.typical_selling_price FROM Products AS T1 JOIN Products AS T2 ON T1.product_id = T2.product_id WHERE T1.typical_selling_price > (SELECT AVG(typical_selling_price) FROM Products) ORDER BY T1.typical_selling_price DESC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# > (SELECT AVG(#COLUMN#) FROM #TABLE#) ORDER BY #COLUMN# DESC'}"
"{'hash': '8907de43dd185dff2d9323cd169a0f3e9c609501', 'query': ""SELECT T1.product_name, AVG(T2.typical_buying_price) FROM Products AS T1 JOIN Products AS T2 ON T1.product_id = T2.product_id WHERE T2.product_name NOT IN (SELECT product_name FROM Products WHERE product_category_code = 'Electronics') GROUP BY T1.product_name ORDER BY AVG(T2.typical_buying_price) ASC"", 'template': 'SELECT #COLUMN#, AVG(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#) GROUP BY #COLUMN# ORDER BY AVG(#COLUMN#) ASC'}"
"{'hash': 'a0b727ba2d15599a61cb9e82252c61f841399813', 'query': ""SELECT T3.product_name, T2.characteristic_name FROM Products AS T3 JOIN Product_Characteristics AS T4 ON T3.product_id = T4.product_id JOIN Characteristics AS T2 ON T4.characteristic_id = T2.characteristic_id JOIN Ref_Product_Categories AS T1 ON T3.product_category_code = T1.product_category_code WHERE T2.characteristic_type_code = 'Dimension' OR T2.characteristic_type_code BETWEEN 'Size' AND 'Weight' OR T2.characteristic_type_code IN (SELECT characteristic_type_code FROM Ref_Characteristic_Types WHERE characteristic_type_description LIKE 'Height') ORDER BY T3.product_name ASC"", 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# OR #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# LIKE #VALUE#) ORDER BY #COLUMN# ASC'}"
"{'hash': 'b41a5e4245899b89d632eb49c680e0718001e5d1', 'query': ""SELECT COUNT(DISTINCT product_characteristic_value), COUNT(DISTINCT characteristic_name), product_name FROM Product_Characteristics AS T1 JOIN Products AS T2 ON T1.product_id = T2.product_id JOIN Characteristics AS T3 ON T1.characteristic_id = T3.characteristic_id WHERE characteristic_type_code = 'SIZE'"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# JOIN #TABLE# AS T3 ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE#'}"
"{'hash': '688ab02f7a3bfeb07fe3a2fa6846b8f43f714311', 'query': ""SELECT T1.product_category_description, COUNT(T2.product_id) FROM Ref_Product_Categories AS T1 JOIN Products AS T2 ON T1.product_category_code = T2.product_category_code WHERE NOT EXISTS ( SELECT 1 FROM Characteristics AS T3 JOIN Product_Characteristics AS T4 ON T3.characteristic_id = T4.characteristic_id WHERE T2.product_id = T4.product_id AND T3.characteristic_type_code = 'Size' ) GROUP BY T1.product_category_description"", 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE NOT EXISTS ( SELECT 1 FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #COLUMN# AND #COLUMN# = #VALUE# ) GROUP BY #COLUMN#'}"
"{'hash': '4c4abc0954b509781a8804691de9d1be6fc6ab8e', 'query': 'SELECT COUNT(DISTINCT product_id) AS product_count, product_category_code FROM Products GROUP BY product_category_code ORDER BY product_count DESC', 'template': 'SELECT COUNT(DISTINCT #COLUMN#) AS #COLUMN#, #COLUMN# FROM #TABLE# GROUP BY #COLUMN# ORDER BY #COLUMN# DESC'}"
