query
"{'hash': '23f7a7871a08b644fa86e38a33b8998824de1b16', 'query': 'SELECT product_name FROM Products WHERE product_price <= 1000', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# <= #VALUE#'}"
"{'hash': '5d0bd34cfb9a5003e6ea4d9764a5c92f079e1cdd', 'query': ""SELECT COUNT(T1.customer_id) FROM Customers AS T1 WHERE T1.customer_name = 'John Doe' AND T1.customer_email IN (SELECT T2.customer_email FROM Contacts AS T2 WHERE T2.gender = 'Male') AND (T1.customer_phone BETWEEN '1234567890' AND '9876543210')"", 'template': 'SELECT COUNT(#COLUMN#) FROM #TABLE# WHERE #COLUMN# = #VALUE# AND #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#) AND (#COLUMN# BETWEEN #VALUE# AND #VALUE#)'}"
"{'hash': '12a6b25c6011f35e26ed2622b6fadf48ef69a40a', 'query': 'SELECT product_name FROM Products WHERE product_price >= 50 LIMIT 10', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# >= #VALUE# LIMIT #VALUE#'}"
"{'hash': '4d6f790173c326f30b04a3488a970b9bac52143e', 'query': 'SELECT T1.product_name FROM Products AS T1 JOIN Order_Items AS T2 ON T1.product_id = T2.product_id WHERE T2.order_quantity != 0 ORDER BY T1.product_name ASC', 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# != #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': 'e013ae4f9d7bba395d4365cf55012269f7d23f4d', 'query': 'SELECT T2.product_name FROM Customer_Orders AS T1 JOIN Order_Items AS T2 ON T1.order_id = T2.order_id WHERE EXISTS (SELECT 1 FROM Products AS T3 WHERE T3.product_price > 100 AND T2.product_id = T3.product_id) LIMIT 10', 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# > #VALUE# AND #COLUMN# = #COLUMN#) LIMIT #VALUE#'}"
"{'hash': 'a472bf93b0d7bef7d0c049c58971b740eefc18f1', 'query': 'SELECT T1.customer_name FROM Customers AS T1 WHERE T1.customer_id NOT IN (SELECT T2.customer_id FROM Customer_Address_History AS T2)', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 WHERE #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# AS T2)'}"
"{'hash': 'f67a6483743d3ebffe8aff8cc31eab6cc5ff4ba8', 'query': ""SELECT product_id FROM Products WHERE product_price = 100 AND product_type_code = 1 AND product_name = 'Product 1'"", 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE# AND #COLUMN# = #VALUE# AND #COLUMN# = #VALUE#'}"
"{'hash': 'ab5821862b18eb6d2ff93e4cd12253907dac1cbc', 'query': 'SELECT SUM(T1.product_price) FROM Products AS T1 WHERE T1.product_id = 1 AND EXISTS (SELECT T2.order_id FROM Customer_Orders AS T2 WHERE T2.customer_id = 1)', 'template': 'SELECT SUM(#COLUMN#) FROM #TABLE# WHERE #COLUMN# = #VALUE# AND EXISTS (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#)'}"
"{'hash': '623e34901b15eed107c6e4c1f8bc6962b04f71b8', 'query': ""SELECT COUNT(DISTINCT T4.product_name) FROM Customers AS T1 JOIN Customer_Orders AS T2 ON T1.customer_id = T2.customer_id JOIN Order_Items AS T3 ON T2.order_id = T3.order_id JOIN Products AS T4 ON T3.product_id = T4.product_id WHERE T1.customer_name != 'ABC Inc.' GROUP BY T1.customer_name ORDER BY COUNT(DISTINCT T4.product_name) DESC LIMIT 10"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# != #VALUE# GROUP BY #COLUMN# ORDER BY COUNT(DISTINCT #COLUMN#) DESC LIMIT #VALUE#'}"
"{'hash': '2fadd117f963cccb1bc094847dd80727731c42dc', 'query': ""SELECT T1.line_1_number_building FROM Addresses AS T1 WHERE T1.city != 'New York' ORDER BY T1.zip_postcode DESC LIMIT 10"", 'template': ""SELECT #COLUMN# FROM #TABLE# AS T1 WHERE T1.#COLUMN# != '#VALUE#' ORDER BY #COLUMN# DESC LIMIT #VALUE#""}"
"{'hash': '55ac35ed1e6289a2e551192841ca761679042815', 'query': 'SELECT T1.product_name FROM Products AS T1 JOIN Order_Items AS T2 ON T1.product_id = T2.product_id JOIN Customer_Orders AS T3 ON T2.order_id = T3.order_id WHERE T3.order_date > (SELECT order_date FROM Customer_Orders ORDER BY order_date DESC LIMIT 1)', 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > (SELECT #COLUMN# FROM #TABLE# ORDER BY #COLUMN# DESC LIMIT 1)'}"
