query
"{'hash': 'e07063d001b4768e1c2a1a9bef05834d13228da5', 'query': ""SELECT T1.School_ID FROM school AS T1 JOIN school AS T2 ON T1.School_ID = T2.School_ID WHERE T1.Enrollment BETWEEN 500 AND 1000 AND T1.Founded > 1950 AND NOT EXISTS (SELECT * FROM school_performance AS T3 WHERE T3.School_Id = T1.School_ID AND T3.Class_AA = 'A')"", 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# > #VALUE# AND NOT EXISTS (SELECT * FROM #TABLE# AS T3 WHERE #COLUMN# = #COLUMN# AND #COLUMN# = #VALUE#)'}"
"{'hash': 'c36a25b47a6ee29753bc8fce9975cd94aae8ebf1', 'query': 'SELECT T1.Location, T2.League FROM school AS T1 JOIN school_details AS T2 ON T1.School_ID = T2.School_ID', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN#'}"
"{'hash': 'ede3b558b96bf4b4d0ffd660b80ee475168e022b', 'query': 'SELECT School FROM school WHERE Enrollment <= 5000 LIMIT 10', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# <= #VALUE# LIMIT #VALUE#'}"
"{'hash': 'cc9b6040668a31fcf6d98867cbe2461615412376', 'query': 'SELECT T1.School_ID, T2.School_ID FROM school AS T1 JOIN school AS T2 ON T1.School_ID = T2.School_ID WHERE T1.Enrollment > 1000', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE#'}"
"{'hash': '7d4a50d522e90b6d768d7b075b14c913bd67e056', 'query': 'SELECT School_ID, COUNT(DISTINCT Enrollment) FROM school WHERE Founded = 1850 GROUP BY School_ID HAVING COUNT(DISTINCT Enrollment) = 1', 'template': 'SELECT #COLUMN#, COUNT(DISTINCT #COLUMN#) FROM #TABLE# WHERE #COLUMN# = #VALUE# GROUP BY #COLUMN# HAVING COUNT(DISTINCT #COLUMN#) = #VALUE#'}"
"{'hash': 'aed25656413a0184c65a27fc814b99c7e232f3f9', 'query': ""SELECT COUNT(DISTINCT School_ID), Enrollment FROM school WHERE Denomination != 'Public'"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# WHERE #COLUMN# != #VALUE#'}"
"{'hash': 'eda51e85c6c5b938f8932ff6c2a7b63c3ded6b09', 'query': 'SELECT T1.School, T2.School FROM school AS T1 JOIN school AS T2 ON T1.School_ID = T2.School_ID WHERE T1.Enrollment BETWEEN 500 AND 1000', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON T1.#COLUMN# = T2.#COLUMN# WHERE T1.#COLUMN# BETWEEN #VALUE# AND #VALUE#'}"
"{'hash': '670180118448ada519544bfc7afd742661c0ace5', 'query': 'SELECT MAX(Enrollment), MIN(Enrollment), COUNT(School_ID) FROM school WHERE Enrollment <= 1000', 'template': 'SELECT MAX(#COLUMN#), MIN(#COLUMN#), COUNT(#COLUMN#) FROM #TABLE# WHERE #COLUMN# <= #VALUE#'}"
"{'hash': '3b6ebb281a1eb976b9ad2c9a258ec90408e799a7', 'query': ""SELECT s.School, COUNT(p.Player_ID) FROM school s JOIN player p ON s.School_ID = p.School_ID WHERE s.Enrollment > 1000 AND s.Location = 'NYC' AND EXISTS (SELECT 1 FROM school_performance sp WHERE sp.School_Id = s.School_ID AND sp.Class_A = 'A') ORDER BY s.School ASC"", 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#) FROM #TABLE# AS #TABLE# JOIN #TABLE# AS #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# AND #COLUMN# = #VALUE# AND EXISTS (SELECT 1 FROM #TABLE# AS #TABLE# WHERE #COLUMN# = #COLUMN# AND #COLUMN# = #VALUE#) ORDER BY #COLUMN# ASC'}"
"{'hash': '6e5cda40981333f580fb9439c9ccdc2b3ae373e9', 'query': 'SELECT T1.School_ID FROM school AS T1 JOIN school AS T2 ON T1.School_ID = T2.School_ID WHERE EXISTS (SELECT 1 FROM school_performance WHERE School_Id = T1.School_ID) GROUP BY T1.School_ID HAVING MIN(T1.Enrollment) = 500', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN#) GROUP BY #COLUMN# HAVING MIN(#COLUMN#) = #VALUE#'}"
"{'hash': 'db406b081cb52d73cf1aebc7baea177ad49d50e9', 'query': 'SELECT School_ID, MAX(Enrollment) FROM school WHERE Enrollment > 1000 GROUP BY School_ID ORDER BY School_ID ASC', 'template': 'SELECT #COLUMN#, MAX(#COLUMN#) FROM #TABLE# WHERE #COLUMN# > #VALUE# GROUP BY #COLUMN# ORDER BY #COLUMN# ASC'}"
"{'hash': '63fc3232853010560cf39e6e8313ac8e9eaf464f', 'query': ""SELECT School_ID, School FROM school AS T1 WHERE Enrollment > 1000 AND EXISTS (SELECT 1 FROM school_details AS T2 WHERE T1.School_ID = T2.School_ID AND T2.League = 'League1') AND Location = 'Location1'"", 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1 WHERE #COLUMN# > #VALUE# AND EXISTS (SELECT 1 FROM #TABLE# AS T2 WHERE T1.#COLUMN# = T2.#COLUMN# AND T2.#COLUMN# = #VALUE#) AND #COLUMN# = #VALUE#'}"
"{'hash': '8ba62b6052e5ca9636fbd7206410afb05e4cb367', 'query': ""SELECT COUNT(DISTINCT School_Colors), School FROM school AS S WHERE Location = 'USA' LIMIT 10"", 'template': ""SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# AS #TABLE# WHERE #COLUMN# = '#VALUE#' LIMIT #VALUE#""}"
"{'hash': '7a6afba8a00733cf68724c91477db90d78ca50db', 'query': 'SELECT Enrollment, SUM(Enrollment) FROM school GROUP BY Enrollment HAVING SUM(Enrollment) > 500', 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# GROUP BY #COLUMN# HAVING SUM(#COLUMN#) > #VALUE#'}"
"{'hash': '0f6689228d1b4ee0194f29ba3025db83c283773b', 'query': 'SELECT T1.School, T2.Nickname, T3.School_Year FROM school AS T1 JOIN school_details AS T2 ON T1.School_ID = T2.School_ID JOIN school_performance AS T3 ON T1.School_ID = T3.School_Id WHERE T1.Enrollment BETWEEN 100 AND 500 ORDER BY T1.Enrollment DESC LIMIT 10', 'template': 'SELECT #COLUMN#, #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# ORDER BY #COLUMN# DESC LIMIT #VALUE#'}"
