query
"{'hash': '94c380fdc79dbe649a5d1d94a95bcea5a09add1e', 'query': ""SELECT Name FROM mountain WHERE Country != 'USA' ORDER BY Height DESC"", 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# != #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': '9f7d18b271fd4c3a3840fe4dc3702f7338e8483d', 'query': ""SELECT T1.Name, T2.Name FROM climber AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE T1.Points > 100 AND T2.Country = 'Spain' AND NOT EXISTS (SELECT 1 FROM mountain AS T3 WHERE T3.Height < 3000 AND T3.Mountain_ID = T1.Mountain_ID)"", 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# AND #COLUMN# = #VALUE# AND NOT EXISTS (SELECT 1 FROM #TABLE# AS T3 WHERE #COLUMN# < #VALUE# AND #COLUMN# = #COLUMN#)'}"
"{'hash': 'bb8e11741790ccab74c61fb6ccb046280e2505f9', 'query': 'SELECT T1.Name, MIN(T1.Height) FROM mountain AS T1 WHERE NOT EXISTS (SELECT T2.Mountain_ID FROM climber AS T2 WHERE T1.Mountain_ID = T2.Mountain_ID) GROUP BY T1.Name ORDER BY MIN(T1.Height) ASC LIMIT 10', 'template': 'SELECT #COLUMN#, MIN(#COLUMN#) FROM #TABLE# WHERE NOT EXISTS (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #COLUMN#) GROUP BY #COLUMN# ORDER BY MIN(#COLUMN#) ASC LIMIT #VALUE#'}"
"{'hash': '8c1ede9c9b241e51aae2ef3c4d3a4826b4688135', 'query': 'SELECT C1.Name FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE EXISTS ( SELECT T3.Name FROM mountain AS T3 WHERE T3.Height > ( SELECT MAX(Height) FROM mountain ) ) ORDER BY T1.Points DESC', 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE EXISTS ( SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# > ( SELECT MAX(#COLUMN#) FROM #TABLE# ) ) ORDER BY #COLUMN# DESC'}"
"{'hash': '088242d7ebf0d8db71fb67f7d313dc105c2c4638', 'query': 'SELECT T1.Country, T2.Name FROM mountain AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE T1.Prominence > 500 LIMIT 10', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS #TABLE# JOIN #TABLE# AS #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# LIMIT #VALUE#'}"
"{'hash': 'dee2cdb4401ce649c3fe7fd35c1964eff498d1ba', 'query': 'SELECT T1.Name, COUNT(DISTINCT T2.Climber_ID) FROM mountain AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID GROUP BY T1.Name ORDER BY T1.Name ASC', 'template': 'SELECT #COLUMN#, COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# GROUP BY #COLUMN# ORDER BY #COLUMN# ASC'}"
"{'hash': '6e46af9f81a8d725047867b1744c44aa328a22d6', 'query': 'SELECT T1.Name, COUNT(T2.Climber_ID) FROM mountain AS T1 LEFT JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE EXISTS (SELECT 1 FROM climber WHERE climber.Mountain_ID = T1.Mountain_ID) GROUP BY T1.Name HAVING COUNT(DISTINCT T2.Climber_ID) > 1 ORDER BY T1.Name ASC', 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#) FROM #TABLE# AS T1 LEFT JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN#) GROUP BY #COLUMN# HAVING COUNT(DISTINCT #COLUMN#) > #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': 'd5685bd76ccee046ae0c17e4fc3b0b52e94999d9', 'query': ""SELECT Height FROM mountain WHERE Country = 'USA' AND Height > (SELECT MAX(Height) FROM mountain WHERE Country = 'France') ORDER BY Height DESC LIMIT 10"", 'template': ""SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = '#VALUE#' AND #COLUMN# > (SELECT MAX(#COLUMN#) FROM #TABLE# WHERE #COLUMN# = '#VALUE#') ORDER BY #COLUMN# DESC LIMIT #VALUE#""}"
"{'hash': 'f5bc6385df2599cdfd8e0418d31861fa7c75711b', 'query': ""SELECT T1.Name, T2.Name, T3.Country FROM mountain AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID JOIN climber AS T3 ON T2.Mountain_ID = T3.Mountain_ID WHERE T1.Range != 'Alps'"", 'template': 'SELECT #COLUMN#, #COLUMN#, #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON T1.#COLUMN# = T2.#COLUMN# JOIN #TABLE# AS T3 ON T2.#COLUMN# = T3.#COLUMN# WHERE T1.#COLUMN# != #VALUE#'}"
"{'hash': 'dbdb6b8401d310379d93ea749a028871833f06a5', 'query': 'SELECT COUNT(DISTINCT Country), AVG(Height) FROM mountain WHERE Prominence <= 1000 GROUP BY Country ORDER BY COUNT(DISTINCT Country) DESC', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), AVG(#COLUMN#) FROM #TABLE# WHERE #COLUMN# <= #VALUE# GROUP BY #COLUMN# ORDER BY COUNT(DISTINCT #COLUMN#) DESC'}"
"{'hash': '357fda0ef23fb182f669a850305bd9b2b6f9f979', 'query': ""SELECT T1.Name, COUNT(DISTINCT T2.Climber_ID), SUM(T2.Points), AVG(T1.Height) FROM mountain AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE T2.Time BETWEEN '10:00' AND '12:00' OR T1.Range IN (SELECT Range FROM mountain WHERE Country = 'USA')"", 'template': 'SELECT #COLUMN#, COUNT(DISTINCT #COLUMN#), SUM(#COLUMN#), AVG(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#)'}"
"{'hash': '3664205daf295f6cb5928088094ad2fce4813790', 'query': 'SELECT T1.Name, T1.Height FROM mountain AS T1 WHERE EXISTS (SELECT 1 FROM climber AS T2 WHERE T2.Mountain_ID = T1.Mountain_ID AND T2.Points > 1000) LIMIT 10', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# WHERE EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN# AND #COLUMN# > #VALUE#) LIMIT #VALUE#'}"
