Question,Predicted SQL,Gold SQL,Database
What are the counts of distinct weights for each treatment type where the minimum cost of treatment is less than 52 and the treatment id is greater than 29?,"SELECT tt.treatment_type_description, COUNT(DISTINCT d.weight) AS distinct_weight_count FROM Treatments t JOIN Dogs d ON t.dog_id = d.dog_id JOIN Treatment_Types tt ON t.treatment_type_code = tt.treatment_type_code WHERE t.cost_of_treatment < 52 AND t.treatment_id > 29 GROUP BY tt.treatment_type_description","SELECT COUNT(DISTINCT weight), Treatments.treatment_type_code FROM Dogs JOIN Treatments JOIN Treatment_Types ON Dogs.dog_id = Treatments.dog_id AND Treatment_Types.treatment_type_code = Treatments.treatment_type_code WHERE  treatment_id > 29 GROUP BY Treatments.treatment_type_code HAVING MIN(cost_of_treatment) < 52",dog_kennels
What are the number of distinct majors of students between the ages of 1 and 10 who have pets with a pet id less than or equal to 60?,SELECT COUNT(DISTINCT Major) FROM Student WHERE Age BETWEEN 1 AND 10 AND StuID IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetID <= 60)),SELECT COUNT(DISTINCT T1.Major) FROM Student AS T1 INNER JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID INNER JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T1.Age BETWEEN 1 AND 10 AND T2.PetID <= 60,pets_1
"What is the minimum height of each person, along with their ID and name, excluding the person with ID 73, listed in descending order of ID?","SELECT p.People_ID, p.Name, MIN(p.Height) AS Min_Height FROM people p WHERE p.People_ID != 73 GROUP BY p.People_ID, p.Name ORDER BY p.People_ID DESC","SELECT MIN(p.Height), p.People_ID, p.Name FROM people AS p WHERE p.People_ID != 73 GROUP BY p.People_ID, p.Name ORDER BY p.People_ID DESC",poker_player
"For each district and shop, what is the total count of shops, the maximum number of products, the district, and the shop name for shops that have between 1 and 10 products?","SELECT COUNT(Shop_ID) AS total_count_of_shops, MAX(Number_products) AS max_number_of_products, District, Name AS shop_name FROM shop WHERE Number_products BETWEEN 1 AND 10 GROUP BY District, Name","SELECT COUNT(*), MAX(Number_products), District, Name FROM shop WHERE Number_products BETWEEN 1 AND 10 GROUP BY District, Name;",employee_hire_evaluation
What are the CountryIds of the 4th to 6th countries with CountryId between 1 and 10?,SELECT CountryId FROM countries WHERE CountryId BETWEEN 1 AND 10 ORDER BY CountryId LIMIT 3 OFFSET 3,SELECT CountryId FROM countries WHERE CountryId BETWEEN 1 AND 10 ORDER BY CountryId DESC LIMIT 3,car_1
"What are the feature ids of the 7th to 12th other property features for properties with a property id greater than 100, listed in descending order of feature id?",SELECT feature_id FROM Other_Property_Features WHERE property_id > 100 ORDER BY feature_id DESC LIMIT 6 OFFSET 6,SELECT c.feature_id FROM Other_Property_Features AS c WHERE  c.property_id > 100 ORDER BY c.feature_id DESC LIMIT 6,real_estate_properties
"What are the player ids of players with id greater than 74, listed in ascending order of their ids, and what are their ids, and what are their ids?",SELECT player_id FROM players WHERE player_id > 74 ORDER BY player_id ASC,"SELECT player_id, player_id, player_id FROM players WHERE  player_id > 74 ORDER BY player_id ASC",wta_1
What are the names and hometowns of the teachers with a teacher ID less than or equal to 28?,"SELECT Name, Hometown FROM teacher WHERE Teacher_ID <= 28","SELECT a.Hometown, a.Name FROM teacher AS a WHERE a.Teacher_ID <= 28",course_teach
"What is the count of unique other details, along with department descriptions and other details, of all departments except the one with department id 53?","SELECT COUNT(DISTINCT d.other_details) AS unique_other_details_count, d.department_description, d.other_details FROM Departments d WHERE d.department_id != 53 GROUP BY d.department_description, d.other_details","SELECT COUNT(DISTINCT g.other_details), g.department_description, g.other_details FROM Departments AS g WHERE  g.department_id != 53",student_transcripts_tracking
"What are the languages used in countries where the language percentage is between 1 and 10 and less than 30, and are they official languages?","SELECT cl.Language, cl.IsOfficial FROM countrylanguage cl WHERE cl.Percentage > 1 AND cl.Percentage < 30 AND cl.Percentage < 10","SELECT Language, IsOfficial FROM countrylanguage WHERE Percentage BETWEEN 1 AND 10 AND  Percentage < 30",world_1
How many distinct teacher names are there for each teacher age where the teacher ID is less than 79?,"SELECT Age, COUNT(DISTINCT Name) AS Distinct_Teacher_Names FROM teacher WHERE Teacher_ID < 79 GROUP BY Age","SELECT COUNT(DISTINCT t.Name), t.Age FROM teacher AS t WHERE  t.Teacher_ID < 79 GROUP BY t.Age;",course_teach
What are the show IDs of shows with an ID less than or equal to 95?,SELECT Show_ID FROM show WHERE Show_ID <= 95,SELECT Show_ID FROM show WHERE  Show_ID <= 95,orchestra
What is the contestant number of the second contestant in the contestants list?,SELECT contestant_number FROM CONTESTANTS ORDER BY contestant_number ASC LIMIT 1 OFFSET 1,SELECT z.contestant_number FROM CONTESTANTS AS z LIMIT 1,voter_1
What are the transcript IDs of the transcripts created after the 33rd transcript?,SELECT transcript_id FROM Transcripts WHERE transcript_id > 33 ORDER BY transcript_id,SELECT transcript_id FROM Transcripts WHERE  transcript_id > 33,student_transcripts_tracking
What is the sum of all teacher IDs?,SELECT SUM(Teacher_ID) FROM teacher,SELECT SUM(Teacher_ID) FROM teacher;,course_teach
What are the other details of the sections with course ids between 1 and 10?,"SELECT section_id, section_name, section_description, other_details FROM Sections WHERE course_id BETWEEN 1 AND 10",SELECT other_details FROM Sections WHERE course_id BETWEEN 1 AND 10,student_transcripts_tracking
