query,question,iter,flag,hardness
SELECT T1.Artist_ID FROM artist AS T1 JOIN volume AS T2 ON T1.Artist_ID = T2.Artist_ID JOIN music_festival AS T3 ON T2.Volume_ID = T3.Volume WHERE T1.Age BETWEEN 20 AND 30 AND T2.Weeks_on_Top > 5 AND T3.Result = 'Winner' GROUP BY T1.Artist_ID ORDER BY T1.Artist_ID DESC,"What are the IDs of artists between the ages of 20 and 30, whose songs stayed on top for more than 5 weeks, and who won a music festival, listed in descending order of their IDs?",6,False,extra
"SELECT T1.Artist, T2.Artist FROM artist AS T1 JOIN artist AS T2 ON T1.Artist_ID = T2.Artist_ID ORDER BY T1.Artist ASC","What are the pairs of artists with matching IDs, listed in ascending order by artist name?",6,True,medium
SELECT Artist_ID FROM artist WHERE Age < 30,What are the IDs of the artists who are less than 30 years old?,2,True,easy
"SELECT T1.Artist, T3.Music_Festival, SUM(T2.Weeks_on_Top) FROM artist AS T1 JOIN volume AS T2 ON T1.Artist_ID = T2.Artist_ID JOIN music_festival AS T3 ON T2.Volume_ID = T3.Volume WHERE T1.Age BETWEEN 20 AND 50 AND T2.Weeks_on_Top > 10 ORDER BY SUM(T2.Weeks_on_Top) DESC","What are the artists between 20 and 50 years old who have had songs stay on top for more than 10 weeks, along with the music festivals they participated in, listed in order of total weeks on top?",6,False,extra
"SELECT COUNT(DISTINCT T1.Artist), T2.Weeks_on_Top FROM artist AS T1 JOIN volume AS T2 ON T1.Artist_ID = T2.Artist_ID WHERE T1.Age < 25 LIMIT 10","What are the counts of distinct artists under 25 and their weeks on top, listed 11th to 20th?",6,False,hard
SELECT T1.Artist FROM artist AS T1 WHERE EXISTS ( SELECT T2.Volume_Issue FROM volume AS T2 WHERE T2.Artist_ID = T1.Artist_ID AND T2.Weeks_on_Top > 10 ) ORDER BY T1.Artist DESC,"Which artists have songs that stayed on top for more than 10 weeks, listed in descending order by artist name?",2,True,extra
SELECT COUNT(Volume_Issue) FROM volume WHERE Weeks_on_Top BETWEEN 10 AND 20 ORDER BY Weeks_on_Top DESC LIMIT 5,"What are the counts of volume issues with weeks on top between 10 and 20, ordered in descending order, excluding the first 5 results?",2,True,hard
"SELECT AVG(T1.Age), SUM(T2.Weeks_on_Top) FROM artist AS T1 JOIN volume AS T2 ON T1.Artist_ID = T2.Artist_ID WHERE T2.Song = 'song_name'",What is the average age of the artists with the song 'song_name' and the total number of weeks their songs spent on top?,2,True,extra
SELECT T1.Artist FROM artist AS T1 WHERE T1.Age BETWEEN 20 AND 40 AND T1.Famous_Release_date = '2020' GROUP BY T1.Artist ORDER BY T1.Artist ASC LIMIT 10,"What are the next 10 artists, in ascending order, who were between 20 and 40 years old and had a famous release in 2020?",3,True,extra
"SELECT T1.Artist, AVG(T1.Age) FROM artist AS T1 WHERE T1.Artist_ID IN (SELECT T2.Artist_ID FROM volume AS T2 WHERE T2.Weeks_on_Top > 10) GROUP BY T1.Artist HAVING COUNT(DISTINCT T1.Famous_Title) > 5","What are the names of the artists with an average age, whose songs have been on top for more than 10 weeks and who have more than 5 distinct famous titles?",6,False,extra
"SELECT COUNT(Artist_ID), MAX(Age) FROM artist WHERE Artist_ID <= 10","What is the count of artists with an Artist_ID of 10 or less, and what is their maximum age?",2,True,medium
"SELECT Artist, COUNT(DISTINCT Famous_Title) FROM artist GROUP BY Artist HAVING MAX(Famous_Release_date) > '2000' ORDER BY Artist ASC","Which artists, listed in alphabetical order, have at least one famous title released after the year 2000?",6,False,extra
SELECT Artist FROM artist AS T1 WHERE T1.Artist_ID = 1 LIMIT 1,Who is the second artist with an Artist_ID of 1?,6,False,medium
SELECT COUNT(DISTINCT T1.Artist_ID) FROM artist AS T1 WHERE T1.Age > ( SELECT AVG(Age) FROM artist ) OR T1.Artist_ID IN ( SELECT T2.Artist_ID FROM volume AS T2 WHERE T2.Weeks_on_Top > 5 ) ORDER BY T1.Artist_ID ASC,"How many unique artists are either older than the average age of all artists or have had a song stay on top for more than 5 weeks, listed in ascending order by artist ID?",6,True,extra
SELECT COUNT(DISTINCT v.Artist_ID) FROM volume v JOIN music_festival m ON v.Volume_ID = m.Volume WHERE v.Artist_ID = 1 AND EXISTS (SELECT 1 FROM artist a WHERE a.Artist_ID = v.Artist_ID),How many distinct artists with Artist_ID of 1 have participated in a music festival?,2,True,extra
