query,question,iter,flag,hardness
SELECT COUNT(T1.SongId) FROM Tracklists AS T1 JOIN Albums AS T2 ON T1.AlbumId = T2.AId WHERE T2.Title = 'Album Title' ORDER BY T1.Position DESC,How many songs are in the album titled 'Album Title'?,6,False,hard
"SELECT COUNT(DISTINCT T5.Title), T1.Title FROM Songs AS T1 JOIN Tracklists AS T2 ON T1.SongId = T2.SongId JOIN Albums AS T3 ON T2.AlbumId = T3.AId JOIN Performance AS T4 ON T3.AId = T4.SongId JOIN Songs AS T5 ON T4.SongId = T5.SongId WHERE T3.Type = 'Compilation' OR T3.Label = 'Universal' OR T1.SongId IN (SELECT SongId FROM Instruments WHERE Instrument = 'Guitar') LIMIT 5","What are the titles of songs and the count of distinct titles of other songs in compilation or universal label albums or that have guitar instruments, limited to 5 results after the first 5?",6,False,extra
SELECT MAX(T1.Title) FROM Songs AS T1 JOIN Vocals AS T2 ON T1.SongId = T2.SongId WHERE T2.Type != 'lead',What is the title of the song with the highest title that does not have a lead vocal?,2,True,medium
SELECT MIN(T1.Year) FROM Albums AS T1 WHERE T1.Year >= 2010 ORDER BY T1.Year ASC,What is the earliest year for an album released in 2010 or later?,2,True,medium
SELECT COUNT(SongId) FROM Songs WHERE Title = 'Song Title',How many songs have the title 'Song Title'?,2,True,easy
SELECT T1.Title FROM Songs AS T1 WHERE EXISTS ( SELECT T2.Title FROM Albums AS T2 WHERE T2.Title = T1.Title ) ORDER BY T1.Title ASC,"What song titles are found in both the songs and albums tables, listed in ascending order?",2,True,extra
"SELECT DISTINCT T1.Title, COUNT(T1.Title) FROM ( SELECT T1.Title FROM Songs AS T1 UNION ALL SELECT T2.Title FROM Albums AS T2 ) AS T1 WHERE T1.Title BETWEEN 'A' AND 'E' OR T1.Title IN ( SELECT T3.Title FROM Albums AS T3 WHERE T3.Year > 2000 ) ORDER BY T1.Title DESC","What are the distinct titles of songs or albums between A and E, or albums released after 2000, ordered in descending order along with their count?",6,False,extra
"SELECT SongId, Title FROM Songs WHERE SongId BETWEEN 1 AND 100",What are the song ids and titles of songs with song ids between 1 and 100?,2,True,medium
SELECT Title FROM Songs WHERE SongId BETWEEN 1 AND 10 AND SongId > 5,What are the titles of songs with song id between 6 and 10?,2,True,medium
SELECT T1.Title FROM Songs AS T1 JOIN Vocals AS T2 ON T1.SongId = T2.SongId WHERE T2.Type = (SELECT Type FROM Vocals WHERE SongId = 1),What are the titles of the songs that have the same type of vocals as the song with id 1?,2,True,extra
SELECT COUNT(DISTINCT SongId) FROM Songs WHERE SongId >= 1 LIMIT 10,What are the total number of distinct song ids from the 10th to the 20th in the songs table?,2,True,medium
"SELECT Title, SongId FROM Songs ORDER BY SongId ASC",What are the titles and song ids of all songs in ascending order of song id?,6,True,medium
SELECT T1.Title FROM Songs AS T1 JOIN Vocals AS T2 ON T1.SongId = T2.SongId WHERE NOT EXISTS (SELECT 1 FROM Band AS T3 WHERE T3.Id = T2.Bandmate),What are the titles of the songs that are sung by vocalists who are not band members?,2,True,extra
SELECT Title FROM Songs WHERE Title = 'Lose Yourself' OR Title = 'Hotel California' AND SongId > 100 ORDER BY Title DESC,"What are the titles of the songs with titles either 'Lose Yourself' or 'Hotel California' with a song id greater than 100, ordered by title in descending order?",3,True,hard
SELECT T1.Title FROM Songs AS T1 JOIN Vocals AS T2 ON T1.SongId = T2.SongId WHERE T2.Type = 'Lead' AND T2.Bandmate = 1 AND T1.Title IN (SELECT Title FROM Songs WHERE SongId > 10),"Which song titles, with a song id greater than 10, have lead vocals performed by bandmate 1?",3,True,extra
"SELECT COUNT(DISTINCT Title), MAX(Year) FROM Albums WHERE Type > 'Rock' ORDER BY Year ASC",What is the number of distinct album titles and the earliest year of albums that are not of the 'Rock' type?,6,False,extra
