sql,hardness
"SELECT MIN(c.Channel_ID), d.Director_ID, p.Channel_ID FROM channel c JOIN director_admin da JOIN program p JOIN director d ON p.Channel_ID = c.Channel_ID AND c.Channel_ID = da.Channel_ID AND d.Director_ID = p.Director_ID AND da.Director_ID = d.Director_ID WHERE p.Director_ID != 29 GROUP BY p.Channel_ID ORDER BY p.Channel_ID ASC",extra
"SELECT Name, Age, COUNT(*) FROM director WHERE Director_ID < 44 GROUP BY Name, Age ORDER BY Age ASC;",hard
SELECT u.Title FROM program AS u WHERE Program_ID > (SELECT MAX(Program_ID) FROM program WHERE Channel_ID BETWEEN 1 AND 10) ORDER BY u.Title DESC,extra
"SELECT MIN(k.Channel_ID) AS min_channel_id, k.Title FROM program AS k WHERE  k.Program_ID > 85 OR k.Program_ID IN (SELECT Program_ID FROM program AS t WHERE t.Start_Year BETWEEN 1 AND 10 OR  t.Director_ID >= 9 LIMIT 1) GROUP BY k.Title",extra
SELECT Digital_terrestrial_channel FROM channel WHERE  Channel_ID >= 51 OR EXISTS (SELECT * FROM program AS q WHERE q.Channel_ID BETWEEN 1 AND 10 AND channel.Channel_ID = q.Channel_ID LIMIT 1) ORDER BY Digital_terrestrial_channel DESC LIMIT 7,extra
"SELECT c.Name, c.Digital_terrestrial_channel, p.Title FROM channel c JOIN director_admin da ON c.Channel_ID = da.Channel_ID JOIN program p ON c.Channel_ID = p.Channel_ID AND da.Director_ID = p.Director_ID JOIN director d ON da.Director_ID = d.Director_ID WHERE p.Program_ID <= 35 GROUP BY c.Name, c.Digital_terrestrial_channel, p.Title ORDER BY c.Name DESC;",extra
"SELECT COUNT(p.Channel_ID), c.Name FROM channel c JOIN program p ON c.Channel_ID = p.Channel_ID WHERE c.Channel_ID = 76 OR EXISTS (SELECT * FROM director_admin da JOIN program p2 ON da.Channel_ID = p2.Channel_ID WHERE p2.Channel_ID = c.Channel_ID AND p2.Channel_ID < 25) GROUP BY c.Name",extra
"SELECT AVG(h.Channel_ID), h.Director_ID FROM program AS h WHERE h.Channel_ID <= 74 GROUP BY h.Director_ID ORDER BY h.Director_ID DESC LIMIT 2;",extra
SELECT MIN(Channel_ID) FROM director_admin WHERE Channel_ID = 49 LIMIT 1;,medium
SELECT MAX(Age) FROM director WHERE Director_ID >= 44;,easy
SELECT Channel_ID FROM channel WHERE  Channel_ID <= 78 ORDER BY Channel_ID ASC,medium
"SELECT o.Director_ID, o.Channel_ID, o.Is_first_director FROM director_admin AS o WHERE o.Channel_ID BETWEEN 1 AND 10 AND Channel_ID NOT IN (SELECT Channel_ID FROM channel WHERE  Channel_ID <= 61) GROUP BY o.Is_first_director ORDER BY o.Channel_ID DESC",extra
SELECT u.Internet FROM channel AS u WHERE u.Channel_ID < 65 ORDER BY u.Internet DESC,medium
