not_make_sense,0,1,2,3,4,not_make_sense_queries,queries_4,0_percentage,1_percentage,2_percentage,3_percentage,4_percentage,filename
0.0,19.0,3.0,2.0,6.0,0.0,[],"['SELECT COUNT(DISTINCT r.Race_ID)  FROM race r JOIN track t ON r.Track_ID = t.Track_ID WHERE t.Year_Opened <= 2001 ORDER BY t.Year_Opened DESC', ""SELECT * FROM race AS r WHERE r.Track_ID < '5'"", 'SELECT COUNT(DISTINCT r.Track_ID), t.Seating FROM race r JOIN track t ON r.Track_ID = t.Track_ID WHERE t.Seating > 75000.0', 'SELECT * FROM race WHERE (Seating BETWEEN 60000 AND 70000) AND (Year_Opened BETWEEN 1950 AND 2000) AND Track_ID = 2', 'SELECT t1.Name FROM track t1 JOIN track t2 ON t1.Track_ID = t2.Track_ID GROUP BY t1.Name HAVING AVG(t1.Seating) = 75000.0 ORDER BY t1.Name ASC', ""SELECT COUNT(r1.Track_ID), r2.Name FROM race r1 JOIN race r2 ON r1.Track_ID = r2.Track_ID WHERE (r1.Date BETWEEN 'January 26 January 27' AND 'May 26') OR EXISTS (SELECT 1 FROM track t WHERE t.Track_ID = r1.Track_ID AND t.Location = 'Fontana, CA') GROUP BY r2.Name ORDER BY r2.Name ASC LIMIT 10""]",63.33,10.0,6.67,20.0,0.0,
0.0,21.0,8.0,2.0,4.0,0.0,[],"[""SELECT COUNT(DISTINCT Artist), Artist FROM volume WHERE Volume_Issue >= '45:14 §' GROUP BY Artist"", ""SELECT COUNT(*) FROM artist WHERE Age BETWEEN 30 AND 40 AND Artist NOT IN (SELECT Artist FROM music_festival WHERE Category = 'Best Song')"", 'SELECT COUNT(volume.Volume_Issue) AS count_volume_Issue, AVG(volume.Weeks_on_Top) AS avg_Weeks_on_Top FROM volume JOIN volume AS volume_1 ON volume.Volume_ID = volume_1.Volume_ID WHERE volume.Artist_ID = volume_1.Artist_ID LIMIT 10', 'SELECT COUNT(DISTINCT Artist), Artist FROM volume WHERE Artist_ID IN (SELECT Artist_ID FROM artist WHERE Age > 30) GROUP BY Artist ORDER BY COUNT(DISTINCT Artist) DESC']",60.0,22.86,5.71,11.43,0.0,
0.0,19.0,2.0,5.0,6.0,0.0,[],"[""SELECT * FROM CLASS WHERE CRS_CODE <= 'ACCT-212'"", ""SELECT COUNT(DISTINCT CLASS.CRS_CODE), CLASS.CRS_CODE FROM CLASS JOIN ENROLL ON CLASS.CLASS_CODE = ENROLL.CLASS_CODE WHERE ENROLL.ENROLL_GRADE <= 'C' GROUP BY CLASS.CRS_CODE ORDER BY COUNT(DISTINCT CLASS.CRS_CODE) DESC"", ""SELECT CLASS_SECTION FROM CLASS WHERE CLASS_CODE IN (SELECT CLASS_CODE FROM CLASS GROUP BY CLASS_CODE HAVING MIN(CRS_CODE) = 'ACCT-211') ORDER BY CLASS_SECTION DESC LIMIT 5"", ""SELECT COUNT(DISTINCT C.CRS_CODE) FROM CLASS C JOIN COURSE CO ON C.CRS_CODE = CO.CRS_CODE WHERE CO.CRS_DESCRIPTION LIKE '%Accounting%' OR C.CLASS_SECTION = '1'"", 'SELECT COUNT(DISTINCT C.CRS_CODE), MIN(C.CRS_CREDIT) FROM CLASS AS C JOIN COURSE AS CO ON C.CRS_CODE = CO.CRS_CODE WHERE EXISTS (SELECT 1 FROM ENROLL AS E WHERE E.CLASS_CODE = C.CLASS_CODE) GROUP BY C.CRS_CODE', ""SELECT * FROM CLASS WHERE CRS_CODE != 'ACCT-211' ORDER BY CLASS_CODE ASC""]",59.38,6.25,15.62,18.75,0.0,
0.0,21.0,0.0,2.0,10.0,0.0,[],"['SELECT *  FROM company WHERE Sales_billion BETWEEN 100 AND 400 OR Company_ID IN (SELECT Station_ID FROM station_company WHERE Rank_of_the_Year = 1) OR Profits_billion = 25.1', 'SELECT COUNT(DISTINCT Company), Company FROM company WHERE Sales_billion < 400.0 GROUP BY Company', 'SELECT * FROM company JOIN station_company ON company.Company_ID = station_company.Company_ID JOIN gas_station ON station_company.Station_ID = gas_station.Station_ID WHERE (Open_Year BETWEEN 1998 AND 2004) OR (Sales_billion > 300) OR NOT EXISTS (SELECT * FROM company WHERE company.Sales_billion > 400)', ""SELECT * FROM company WHERE (Rank BETWEEN 3 AND 6) OR (Sales_billion NOT IN (SELECT Sales_billion FROM company WHERE Main_Industry = 'Oil and gas')) OR (Assets_billion > 300)"", 'SELECT * FROM gas_station AS gs1 WHERE NOT EXISTS (SELECT 1 FROM gas_station AS gs2 INNER JOIN station_company AS sc ON gs2.Station_ID = sc.Station_ID WHERE gs1.Open_Year > gs2.Open_Year) ORDER BY Open_Year DESC', 'SELECT * FROM company JOIN station_company ON company.Company_ID = station_company.Company_ID WHERE Sales_billion > (SELECT AVG(Sales_billion) FROM company) LIMIT 10', 'SELECT * FROM company WHERE Rank = (SELECT MAX(Rank) FROM company) ORDER BY Sales_billion DESC', 'SELECT COUNT(DISTINCT sc.Company_ID)  FROM station_company sc JOIN station_company sc2 ON sc.Station_ID = sc2.Station_ID WHERE sc.Company_ID BETWEEN 1 AND 5 ORDER BY sc.Company_ID ASC', 'SELECT * FROM company WHERE Sales_billion > (SELECT AVG(Sales_billion) FROM company)', 'SELECT COUNT(DISTINCT Company_ID), SUM(Sales_billion) FROM company WHERE Sales_billion < 433.5 GROUP BY Company_ID LIMIT 10']",63.64,0.0,6.06,30.3,0.0,
0.0,22.0,4.0,3.0,4.0,0.0,[],"['SELECT COUNT(DISTINCT Votes), Votes FROM election WHERE Votes <= 13049.0', 'SELECT COUNT(DISTINCT e.Place), COUNT(r.Name) FROM election e JOIN representative r ON e.Representative_ID = r.Representative_ID', ""SELECT AVG(Votes) FROM election WHERE Representative_ID IN (SELECT Representative_ID FROM representative WHERE Party = 'Republican') ORDER BY Votes DESC LIMIT 5"", 'SELECT *  FROM election WHERE Votes > (SELECT COUNT(*) FROM election) ORDER BY Vote_Percent ASC LIMIT 5']",66.67,12.12,9.09,12.12,0.0,
0.0,22.0,1.0,4.0,6.0,0.0,[],"[""SELECT category.category_name, review.rating FROM category JOIN review ON category.business_id = review.business_id WHERE review.rating = '5'"", 'SELECT * FROM business LIMIT 10', 'SELECT MIN(b.rating), b.bid FROM business b JOIN review r ON b.bid = r.business_id WHERE b.rating >= 3 GROUP BY b.bid', 'SELECT business.bid, review.rating FROM business JOIN review ON business.bid = review.business_id WHERE review.rating < 4', 'SELECT * FROM business JOIN review ON business.bid = review.business_id WHERE review.rating = 5 AND business.review_count = 100 ORDER BY business.name DESC LIMIT 10', 'SELECT SUM(rating) FROM business WHERE rating <= 4.0 GROUP BY name ORDER BY SUM(rating) DESC']",66.67,3.03,12.12,18.18,0.0,
1.0,23.0,0.0,2.0,6.0,0.0,['SELECT * FROM user_profiles GROUP BY uid HAVING AVG(followers) ORDER BY followers DESC'],"['SELECT * FROM follows JOIN user_profiles ON follows.f1 = user_profiles.uid WHERE user_profiles.followers < 10000000', 'SELECT SUM(followers) FROM user_profiles WHERE followers <= 99999998 GROUP BY uid ORDER BY NULL', 'SELECT COUNT(DISTINCT name), name, email FROM user_profiles WHERE followers != 0 GROUP BY name, email HAVING SUM(followers) > 0', 'SELECT COUNT(DISTINCT t.uid) FROM tweets t JOIN user_profiles u ON t.uid = u.uid WHERE u.followers > 10000000 ORDER BY t.uid DESC LIMIT 10', 'SELECT * FROM user_profiles WHERE followers < 10000000 ORDER BY name ASC LIMIT 10', 'SELECT * FROM follows AS f1 JOIN follows AS f2 ON f1.f1 = f2.f2 WHERE f1.f1 > 2 ORDER BY f1.f1 ASC']",74.19,0.0,6.45,19.35,0.0,
0.0,22.0,3.0,1.0,4.0,0.0,[],"['SELECT * FROM Songs WHERE SongId <= 1 ORDER BY Title ASC LIMIT 10', 'SELECT COUNT(DISTINCT s1.Title), MIN(s2.Title), COUNT(DISTINCT s1.Title)  FROM Songs s1 JOIN Songs s2 ON s1.SongId < s2.SongId GROUP BY s1.SongId HAVING MIN(s2.Title) IS NOT NULL', 'SELECT COUNT(*), AVG(LENGTH(Title)) FROM Songs ORDER BY Title DESC', ""SELECT COUNT(*)  FROM Songs WHERE Title = '' ORDER BY Title ASC LIMIT 10""]",73.33,10.0,3.33,13.33,0.0,
0.0,23.0,3.0,0.0,3.0,0.0,[],"['SELECT COUNT(DISTINCT f.airport_id) AS count_distinct_airport_id FROM flight f WHERE f.company_id BETWEEN 2 AND 4 GROUP BY f.company_id HAVING AVG(f.Velocity) > 235.0 LIMIT 2', 'SELECT COUNT(DISTINCT airport_id), Velocity FROM flight WHERE Velocity != 240.0', 'SELECT COUNT(*)  FROM flight WHERE Velocity BETWEEN 135.0 AND 240.0 ORDER BY Date ASC']",79.31,10.34,0.0,10.34,0.0,
0.0,20.0,6.0,1.0,1.0,0.0,[],"[""SELECT Publisher FROM publication WHERE Publication_Date BETWEEN 'January 2006' AND 'December 2008' GROUP BY Publisher HAVING MAX(Price) = 15000000.0""]",71.43,21.43,3.57,3.57,0.0,
0.1,20.75,3.45,1.95,5.45,0.0,,,65.84,10.87,6.23,17.06,0.0,Average
