query
"{'hash': '4bbf6f6902b043be64b594c85d8eef1908f7fae8', 'query': 'SELECT Name, SUM(Number_of_Stories) FROM building WHERE Region_ID != 1 LIMIT 10', 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# WHERE #COLUMN# != #VALUE# LIMIT #VALUE#'}"
"{'hash': '84b75104be9a79473d15a525f055638b13a60b26', 'query': 'SELECT T1.Name FROM building AS T1, building AS T2 WHERE T1.Completed_Year != T2.Completed_Year', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1, #TABLE# AS T2 WHERE #COLUMN# != #COLUMN#'}"
"{'hash': '55479ac323be1526fdc94fbb9644c56b084cd1a5', 'query': ""SELECT Name, AVG(Completed_Year) FROM building WHERE Region_ID = 10 OR Number_of_Stories BETWEEN 10 AND 20 OR Name = 'Building1' GROUP BY Name HAVING AVG(Completed_Year) > 1950 ORDER BY Name DESC"", 'template': 'SELECT #COLUMN#, AVG(#COLUMN#) FROM #TABLE# WHERE #COLUMN# = #VALUE# OR #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# = #VALUE# GROUP BY #COLUMN# HAVING AVG(#COLUMN#) > #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': '5eb30a5d36be4cc7a81f21405901edc303c62dcb', 'query': ""SELECT T1.Region_ID, SUM(T1.Number_of_Stories) FROM building AS T1 WHERE T1.Completed_Year BETWEEN 1990 AND 2000 OR T1.Address = 'Main Street' OR EXISTS (SELECT T2.Name FROM region AS T2 WHERE T2.Region_ID = T1.Region_ID AND T2.Population > 1000000) GROUP BY T1.Region_ID"", 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# AS #TABLE# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# = #VALUE# OR EXISTS (SELECT #COLUMN# FROM #TABLE# AS #TABLE# WHERE #COLUMN# = #COLUMN# AND #COLUMN# > #VALUE#) GROUP BY #COLUMN#'}"
"{'hash': 'e225d1af93990fa4dd9af104648f396c7571816a', 'query': 'SELECT b1.Name, COUNT(b2.Region_ID) FROM building b1 JOIN region r ON b1.Region_ID = r.Region_ID JOIN building b2 ON b1.Region_ID = b2.Region_ID WHERE NOT EXISTS (SELECT 1 FROM region r2 WHERE r2.Region_ID = b1.Region_ID AND r2.Population > 1000000) GROUP BY b1.Name ORDER BY b1.Name ASC LIMIT 10', 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE NOT EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN# AND #COLUMN# > #VALUE#) GROUP BY #COLUMN# ORDER BY #COLUMN# ASC LIMIT #VALUE#'}"
"{'hash': '09520403946a74a0105a4198dec585eaeb8561e8', 'query': 'SELECT T2.Name, MAX(T1.Number_of_Stories) FROM building AS T1 JOIN region AS T2 ON T1.Region_ID = T2.Region_ID WHERE T1.Completed_Year = 2020 GROUP BY T2.Name', 'template': 'SELECT #COLUMN#, MAX(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# GROUP BY #COLUMN#'}"
"{'hash': 'c775c7c215923e7119464a26d642bc58e18ab19d', 'query': 'SELECT COUNT (DISTINCT Region_ID) FROM building WHERE Region_ID = 1 OR Completed_Year BETWEEN 2000 AND 2010 OR Number_of_Stories > 10 LIMIT 10', 'template': 'SELECT COUNT (DISTINCT #COLUMN#) FROM #TABLE# WHERE #COLUMN# = #VALUE# OR #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# > #VALUE# LIMIT #VALUE#'}"
"{'hash': 'f78f94d41bf39c1be78a810e2fd7a5009d7efa2e', 'query': 'SELECT T1.Name, T2.Name FROM building AS T1 JOIN region AS T2 ON T1.Region_ID = T2.Region_ID WHERE T1.Completed_Year > 2000 AND T1.Number_of_Stories BETWEEN 10 AND 50 AND T1.Address IN (SELECT Capital FROM region)', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# AND #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# IN (SELECT #COLUMN# FROM #TABLE#)'}"
"{'hash': 'be2a381a2f5587e5262e0b45d5b374bac00435cd', 'query': 'SELECT COUNT(DISTINCT T1.Name), T2.Capital FROM building AS T1 JOIN region AS T2 ON T1.Region_ID = T2.Region_ID WHERE T1.Number_of_Stories >= 20', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# >= #VALUE#'}"
"{'hash': '5ab3cdd93483b30d598f8454788ded3a22841d44', 'query': 'SELECT T1.Name, COUNT(DISTINCT T2.Name) FROM building AS T1 JOIN region AS T2 ON T1.Region_ID = T2.Region_ID WHERE NOT EXISTS (SELECT 1 FROM region AS T3 WHERE T3.Region_ID = T1.Region_ID AND T3.Population > 1000000) LIMIT 10', 'template': 'SELECT #COLUMN#, COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE NOT EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN# AND #COLUMN# > #VALUE#) LIMIT #VALUE#'}"
"{'hash': '81d219d285fbfd8e89135a7d8fed4a894c8a9d49', 'query': 'SELECT T1.Name, SUM(T1.Number_of_Stories) FROM building AS T1 JOIN region AS T2 ON T1.Region_ID = T2.Region_ID GROUP BY T1.Name ORDER BY SUM(T1.Number_of_Stories) DESC', 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# GROUP BY #COLUMN# ORDER BY SUM(#COLUMN#) DESC'}"
"{'hash': '19dce48ba2135d17f3b10853b4432994afe25729', 'query': 'SELECT T1.Name, T2.Name, SUM(T1.Number_of_Stories) FROM building AS T1 JOIN region AS T2 ON T1.Region_ID = T2.Region_ID JOIN region AS T3 ON T2.Region_ID = T3.Region_ID WHERE T1.Number_of_Stories < 10 ORDER BY T1.Name ASC', 'template': 'SELECT #COLUMN#, #COLUMN#, SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# < #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': 'bccceeb1bc87d2135bc4cd20b011b0802699309b', 'query': 'SELECT AVG(T1.Number_of_Stories) FROM building AS T1 WHERE T1.Region_ID = 1 OR T1.Completed_Year BETWEEN 2000 AND 2020 ORDER BY T1.Number_of_Stories DESC LIMIT 10', 'template': 'SELECT AVG(#COLUMN#) FROM #TABLE# WHERE #COLUMN# = #VALUE# OR #COLUMN# BETWEEN #VALUE# AND #VALUE# ORDER BY #COLUMN# DESC LIMIT #VALUE#'}"
"{'hash': 'f86b86bf0dbc9d9a0c39b4bea85396a4e1663680', 'query': ""SELECT T1.Name, T2.Name, COUNT(DISTINCT T3.Name) FROM building AS T1 JOIN region AS T2 ON T1.Region_ID = T2.Region_ID JOIN region AS T3 ON T2.Region_ID = T3.Region_ID WHERE T2.Population BETWEEN 100000 AND 1000000 OR T1.Completed_Year > 2000 OR T1.Address LIKE '%Street%' GROUP BY T1.Name, T2.Name ORDER BY T1.Name ASC"", 'template': ""SELECT #COLUMN#, #COLUMN#, COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# > #VALUE# OR #COLUMN# LIKE '#VALUE#' GROUP BY #COLUMN#, #COLUMN# ORDER BY #COLUMN# ASC""}"
"{'hash': '4782a0c6de13b432f7ead7044d39f841b8d87a88', 'query': 'SELECT T1.Name, MAX(T1.Number_of_Stories) FROM building AS T1 JOIN region AS T2 ON T1.Region_ID = T2.Region_ID WHERE T1.Completed_Year BETWEEN 2000 AND 2010 OR T1.Address IN (SELECT Capital FROM region) ORDER BY T1.Name DESC LIMIT 5', 'template': 'SELECT #COLUMN#, MAX(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# IN (SELECT #COLUMN# FROM #TABLE#) ORDER BY #COLUMN# DESC LIMIT #VALUE#'}"
"{'hash': '6d4a3027d22244c779f9caff6efa855d703e7286', 'query': ""SELECT T1.Name, T2.Name, T1.Number_of_Stories FROM building AS T1 JOIN region AS T2 ON T1.Region_ID = T2.Region_ID JOIN region AS T3 ON T1.Region_ID = T3.Region_ID WHERE T1.Completed_Year BETWEEN 1990 AND 2000 AND T2.Population > 1000000 AND T1.Address = 'London'"", 'template': 'SELECT #COLUMN#, #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# > #VALUE# AND #COLUMN# = #VALUE# LIMIT #VALUE#'}"
"{'hash': '49e18dd05a2bc605c4802b64604e6b78125f5439', 'query': 'SELECT * FROM building WHERE Number_of_Stories >= 50', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# >= #VALUE#'}"
