query
"{'hash': 'b0143d1f0ee1ef1d893a213b681a61d5dfae4d9d', 'query': ""SELECT service_type_code FROM Services WHERE service_name != 'Emergency'"", 'template': ""SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# != '#VALUE#'""}"
"{'hash': 'a94ca695c7e94913230271c39ed78c059f6c9508', 'query': 'SELECT T1.party_phone FROM Parties AS T1 JOIN Party_Forms AS T2 ON T1.party_id = T2.party_id JOIN Forms AS T3 ON T2.form_id = T3.form_id JOIN Party_Services AS T4 ON T1.party_id = T4.customer_id JOIN Services AS T5 ON T4.service_id = T5.service_id WHERE T3.form_number >= 100', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# JOIN #TABLE# AS T3 ON #COLUMN# = #COLUMN# JOIN #TABLE# AS T4 ON #COLUMN# = #COLUMN# JOIN #TABLE# AS T5 ON #COLUMN# = #COLUMN# WHERE #COLUMN# >= #VALUE#'}"
"{'hash': '7b927fa646d1c8dadfb1c3dd48b0cb6f0b58c0e2', 'query': 'SELECT T1.service_name, T2.form_name, T3.party_email FROM Services AS T1 INNER JOIN Forms AS T2 ON T1.service_id = T2.service_id INNER JOIN Party_Forms AS T3 ON T2.form_id = T3.form_id ORDER BY T1.service_name ASC', 'template': 'SELECT #COLUMN#, #COLUMN#, #COLUMN# FROM #TABLE# INNER JOIN #TABLE# ON #COLUMN# = #COLUMN# INNER JOIN #TABLE# ON #COLUMN# = #COLUMN# ORDER BY #COLUMN# ASC'}"
"{'hash': 'e3dfac651f89642480edf57c1d1db057a323f1d4', 'query': 'SELECT T1.town_city, T2.individual_first_name FROM Addresses AS T1 JOIN Party_Addresses AS T3 ON T1.address_id = T3.address_id JOIN Individuals AS T2 ON T2.individual_address = T1.address_id', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN#'}"
"{'hash': '141c8e53eb12ef061854449accc95e012a965b15', 'query': ""SELECT COUNT(DISTINCT T1.individual_id), T2.service_name FROM Individuals AS T1 JOIN Party_Services AS T2 ON T1.individual_id = T2.customer_id WHERE T2.service_datetime >= '2020-01-01'"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# >= #VALUE#'}"
"{'hash': '51e82fae8ded96536abb5e1a4ff36ba0b7c42f5f', 'query': ""SELECT T1.service_name, T2.form_name FROM Services AS T1 INNER JOIN Forms AS T2 ON T1.service_id = T2.service_id INNER JOIN Party_Services AS T3 ON T1.service_id = T3.service_id WHERE T2.form_type_code = 'online' AND T3.service_datetime BETWEEN '2020-01-01' AND '2020-12-31' AND T1.service_descriptio = 'test'"", 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# INNER JOIN #TABLE# ON #COLUMN# = #COLUMN# INNER JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# AND #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# = #VALUE#'}"
"{'hash': '8f1bb24b279d9c5cd891a1898e7cc13df77fed6f', 'query': ""SELECT T1.individual_first_name, T2.service_name FROM Individuals AS T1 JOIN Party_Services AS T3 ON T1.individual_id = T3.customer_id JOIN Services AS T2 ON T3.service_id = T2.service_id WHERE T1.individual_first_name = 'John' AND T2.service_name = 'Service1' AND T3.service_datetime NOT IN (SELECT T3.service_datetime FROM Party_Services AS T3 JOIN Services AS T2 ON T3.service_id = T2.service_id WHERE T2.service_name = 'Service2') ORDER BY T2.service_name DESC"", 'template': ""SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = '#VALUE#' AND #COLUMN# = '#VALUE#' AND #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = '#VALUE#') ORDER BY #COLUMN# DESC""}"
"{'hash': 'a2a1047d56df0df8479ba7acabc370d6b72c0459', 'query': 'SELECT T1.individual_first_name, T2.service_name FROM Individuals AS T1 JOIN Party_Services AS T3 ON T1.individual_id = T3.customer_id JOIN Services AS T2 ON T3.service_id = T2.service_id ORDER BY T2.service_name DESC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# ORDER BY #COLUMN# DESC'}"
"{'hash': 'c02312bb18c234b1ad42d29a8aab20678b2b6756', 'query': ""SELECT COUNT(DISTINCT T1.form_id) FROM Forms AS T1 JOIN Party_Forms AS T2 ON T1.form_id = T2.form_id WHERE T2.date_completion_started BETWEEN '2020-01-01' AND '2020-12-31' LIMIT 10"", 'template': ""SELECT COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN '#VALUE#' AND '#VALUE#' LIMIT #VALUE#""}"
"{'hash': '3618596b5a3b16b8440cc305a5aa2b78baad0e29', 'query': ""SELECT T1.individual_first_name FROM Individuals AS T1 WHERE T1.individual_id = 123 AND T1.individual_phone NOT IN (SELECT T2.inidividual_phone FROM Individuals AS T2 WHERE T2.individual_last_name = 'Doe')"", 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE# AND #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#)'}"
"{'hash': '22eed7185210e9c653dce6bc2f7f4a579ba3fa40', 'query': ""SELECT T1.service_name FROM Services AS T1 JOIN Party_Services AS T2 ON T1.service_id = T2.service_id WHERE T1.service_type_code = 'health'"", 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE#'}"
"{'hash': 'c40561da744dc41a758c81620da2e6654ac57cba', 'query': ""SELECT T1.party_phone FROM Parties AS T1 JOIN Party_Forms AS T2 ON T1.party_id = T2.party_id WHERE NOT EXISTS (SELECT 1 FROM Forms AS T3 WHERE T3.form_id = T2.form_id AND T3.service_id = 1 AND T3.form_type_code = 'service_type_code')"", 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE NOT EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN# AND #COLUMN# = #VALUE# AND #COLUMN# = #VALUE#)'}"
"{'hash': '2edac1a070a090630eb88c61477858a47fb86163', 'query': ""SELECT T1.town_city FROM Addresses AS T1 WHERE T1.state_province_county = 'City' OR T1.zip_postcode IN (SELECT T2.zip_postcode FROM Addresses AS T2 WHERE T2.state_province_county = 'City') GROUP BY T1.town_city HAVING MIN(T1.address_id) > 1000 ORDER BY T1.town_city DESC"", 'template': ""SELECT #COLUMN# FROM #TABLE# AS T1 WHERE #COLUMN# = '#VALUE#' OR #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# AS T2 WHERE #COLUMN# = '#VALUE#') GROUP BY #COLUMN# HAVING MIN(#COLUMN#) > #VALUE# ORDER BY #COLUMN# DESC""}"
"{'hash': '133d77ffb6f832507e76c9ed525cc17bdbe41ffb', 'query': ""SELECT T1.service_name FROM Services AS T1 JOIN Party_Services AS T2 ON T1.service_id = T2.service_id WHERE T1.service_name BETWEEN 'Service_A' AND 'Service_Z' AND T1.service_id > 100 ORDER BY T1.service_name DESC"", 'template': ""SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN '#VALUE#' AND '#VALUE#' AND #COLUMN# > #VALUE# ORDER BY #COLUMN# DESC""}"
"{'hash': 'b232cd567b05cc75364b72990dd11a55a766991f', 'query': ""SELECT * FROM Services WHERE service_type_code LIKE 'abc%' OR service_id BETWEEN 10 AND 20 OR service_id IN (SELECT service_id FROM Forms)"", 'template': ""SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# LIKE '#VALUE#%' OR #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# IN (SELECT #COLUMN# FROM #TABLE#)""}"
"{'hash': '7f857f98c3d929e348b35ec6bec5bd32c388464c', 'query': ""SELECT COUNT(DISTINCT T1.individual_id) FROM Individuals AS T1 JOIN Organization_Contact_Individuals AS T2 ON T1.individual_id = T2.individual_id JOIN Organizations AS T3 ON T2.organization_id = T3.organization_id WHERE T2.date_contact_from < '2020-01-01' AND T3.date_formed > '2019-01-01' ORDER BY T1.individual_id ASC"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#) FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# JOIN #TABLE# AS T3 ON #COLUMN# = #COLUMN# WHERE #COLUMN# < #VALUE# AND #COLUMN# > #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': '0d583c52bf5b5449d070549d0486eaaccbc52946', 'query': ""SELECT COUNT(DISTINCT T1.party_id) FROM Parties AS T1 JOIN Party_Addresses AS T2 ON T1.party_id = T2.party_id WHERE T2.address_type_code = 'HOME'"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#) FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE#'}"
"{'hash': '1b437154adf8cda3b7536bb216ae445cbbf8ac55', 'query': 'SELECT T1.address_id FROM Addresses AS T1 JOIN Addresses AS T2 ON T1.address_id = T2.address_id WHERE T1.address_id < 10', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# < #VALUE#'}"
"{'hash': 'add2b65f7c542a4cab9ed32eec187ab32acf473a', 'query': ""SELECT COUNT(T1.party_id) FROM Party_Addresses AS T1 JOIN Addresses AS T2 ON T1.address_id = T2.address_id WHERE T2.zip_postcode BETWEEN 'AB10 1AB' AND 'AB10 1ZZ' OR T2.zip_postcode IN (SELECT zip_postcode FROM Addresses WHERE country = 'Scotland') ORDER BY T1.party_id DESC"", 'template': ""SELECT COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN '#VALUE#' AND '#VALUE#' OR #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = '#VALUE#') ORDER BY #COLUMN# DESC""}"
