query
"{'hash': '43031d88397cc63c742e0c21384a2d3f2b11e6ea', 'query': 'SELECT T1.first_name, COUNT(T2.film_id) FROM actor AS T1 JOIN film_actor AS T2 ON T1.actor_id = T2.actor_id GROUP BY T1.first_name', 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# GROUP BY #COLUMN#'}"
"{'hash': 'd8f859770346a9f2c3b2dd19d19056a554247c17', 'query': ""SELECT T1.first_name, T2.customer_id FROM staff AS T1  JOIN rental AS T2  ON T1.staff_id = T2.staff_id  JOIN inventory AS T3  ON T2.inventory_id = T3.inventory_id  WHERE T3.film_id BETWEEN 1 AND 100 AND NOT EXISTS ( SELECT 1 FROM film WHERE film_id = T3.film_id AND rating = 'R' ) ORDER BY T2.rental_date DESC"", 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1  JOIN #TABLE# AS T2  ON #COLUMN# = #COLUMN#  JOIN #TABLE# AS T3  ON #COLUMN# = #COLUMN#  WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# AND NOT EXISTS ( SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN# AND #COLUMN# = #VALUE# ) ORDER BY #COLUMN# DESC'}"
"{'hash': '112954b835fa10daa8fa7989acab27a994e47c83', 'query': 'SELECT COUNT(film_id), SUM(rental_duration) FROM film WHERE rental_duration < ( SELECT AVG(rental_duration) FROM film )', 'template': 'SELECT COUNT(#COLUMN#), SUM(#COLUMN#) FROM #TABLE# WHERE #COLUMN# < ( SELECT AVG(#COLUMN#) FROM #TABLE# )'}"
"{'hash': 'dc09eb49dfbef885eb77d5377b84d1425678013d', 'query': ""SELECT T3.first_name, T4.first_name FROM film_actor AS T1 JOIN actor AS T2 ON T1.actor_id = T2.actor_id JOIN film AS T3 ON T1.film_id = T3.film_id JOIN staff AS T4 ON T3.film_id = T4.staff_id WHERE T4.first_name = 'Mike' OR T4.first_name = 'Mike' OR EXISTS ( SELECT 1 FROM film_text AS T5 WHERE T5.title = 'Mike' )"", 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# OR #COLUMN# = #VALUE# OR EXISTS ( SELECT 1 FROM #TABLE# WHERE #COLUMN# = #VALUE# )'}"
"{'hash': '280a178b0ac4e255e829025381c81f58e50c7b8f', 'query': 'SELECT T1.first_name, T2.first_name FROM actor AS T1 JOIN actor AS T2 ON T1.actor_id = T2.actor_id WHERE T1.actor_id < 10 ORDER BY T1.first_name DESC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# < #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': '0258b1bcc8c4544e79f72cadb171e2c441fc58e5', 'query': 'SELECT T1.first_name, T2.first_name FROM staff AS T1 JOIN staff AS T2 ON T1.staff_id < T2.staff_id LIMIT 5', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# < #COLUMN# LIMIT #VALUE#'}"
"{'hash': '48ad0ce2c46dc21ab4ae0c93eb4cde6a8f4f18bd', 'query': 'SELECT T1.first_name, T1.last_name FROM actor AS T1 WHERE T1.actor_id NOT IN (SELECT T2.actor_id FROM film_actor AS T2 WHERE T2.film_id = 1) LIMIT 5', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1 WHERE T1.#COLUMN# NOT IN (SELECT T2.#COLUMN# FROM #TABLE# AS T2 WHERE T2.#COLUMN# = #VALUE#) LIMIT #VALUE#'}"
"{'hash': '7ac63c4fa2bbd917bce081213cf7566ec3d56f51', 'query': 'SELECT T1.first_name, T2.title FROM actor AS T1 JOIN film_actor AS T2 ON T1.actor_id = T2.actor_id ORDER BY T1.first_name DESC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# ORDER BY #COLUMN# DESC'}"
"{'hash': '3664205daf295f6cb5928088094ad2fce4813790', 'query': 'SELECT T1.first_name, T1.last_name FROM actor AS T1 WHERE EXISTS (SELECT 1 FROM film_actor AS T2 WHERE T2.actor_id = T1.actor_id LIMIT 10)', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# WHERE EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN# LIMIT #VALUE#)'}"
"{'hash': '290ba8e058086dd5fb0396da36244f640c4b891d', 'query': 'SELECT COUNT(film_id) FROM film', 'template': 'SELECT COUNT(#COLUMN#) FROM #TABLE#'}"
"{'hash': 'b80b88d5f5f749a0670162ae7d7ba52c64d0c66f', 'query': 'SELECT T1.first_name, T2.first_name FROM actor AS T1 JOIN film_actor AS T2 ON T1.actor_id = T2.actor_id WHERE T1.actor_id IN (SELECT actor_id FROM film_actor WHERE film_id = 1)', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#)'}"
"{'hash': '886691884f0eb7225540cbbfa0b4f5a16f84bed8', 'query': 'SELECT T1.title FROM film AS T1 WHERE EXISTS (SELECT T2.film_id FROM inventory AS T2 WHERE T2.film_id = T1.film_id) ORDER BY T1.length DESC', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 WHERE EXISTS (SELECT #COLUMN# FROM #TABLE# AS T2 WHERE T2.#COLUMN# = T1.#COLUMN#) ORDER BY #COLUMN# DESC'}"
"{'hash': '0638afac1498febedd5c05733314298cf2ad8cd3', 'query': 'SELECT * FROM film WHERE film_id = 1 AND release_year BETWEEN 2000 AND 2010 AND EXISTS (SELECT * FROM inventory WHERE film_id = film.film_id)', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE# AND #COLUMN# BETWEEN #VALUE# AND #VALUE# AND EXISTS (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #TABLE#.#COLUMN#)'}"
"{'hash': '78e60d1ec7c77763fef8ff50339d516341e07a0f', 'query': ""SELECT COUNT(T1.film_id), SUM(T2.length) FROM film AS T1 JOIN film_text AS T2 ON T1.film_id = T2.film_id WHERE T1.release_year BETWEEN '2000-01-01' AND '2010-01-01' AND T1.rating = 'PG' AND T2.description NOT LIKE '%not exists%'"", 'template': 'SELECT COUNT(#COLUMN#), SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# = #VALUE# AND #COLUMN# NOT LIKE #VALUE#'}"
"{'hash': 'e8b1a2783615e5d2b544948331a2d952dcdebf41', 'query': 'SELECT T1.first_name, COUNT(T2.film_id) FROM actor AS T1 JOIN film_actor AS T2 ON T1.actor_id = T2.actor_id JOIN film AS T3 ON T2.film_id = T3.film_id GROUP BY T1.first_name', 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# GROUP BY #COLUMN#'}"
"{'hash': '6e49ce2ebeb7e7e98cb51713520d7f9a1594c384', 'query': 'SELECT COUNT(DISTINCT T1.language_id), T2.name FROM film AS T1 JOIN language AS T2 ON T1.language_id = T2.language_id WHERE T1.release_year BETWEEN 2000 AND 2010 ORDER BY T2.name DESC LIMIT 10', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# ORDER BY #COLUMN# DESC LIMIT #VALUE#'}"
"{'hash': 'fba5fe9b657e59c4ae752306cb7f55cd0e7a9e98', 'query': 'SELECT COUNT(DISTINCT T1.first_name), T2.title FROM staff AS T1 JOIN inventory AS T2 ON T1.store_id = T2.store_id JOIN film AS T3 ON T2.film_id = T3.film_id JOIN store AS T4 ON T3.film_id = T4.store_id LIMIT 10', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# LIMIT #VALUE#'}"
"{'hash': '5285734e6b9395a451846e8a72dce3fc010d3452', 'query': 'SELECT T1.first_name, T2.staff_id FROM staff AS T1 JOIN rental AS T2 ON T1.staff_id = T2.staff_id JOIN payment AS T3 ON T2.rental_id = T3.rental_id WHERE T3.amount < 2 ORDER BY T1.first_name ASC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# < #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': '7a429b8c59b3c43491decc54fa3af4ecce975e29', 'query': 'SELECT T1.first_name, T2.first_name FROM staff AS T1 JOIN store AS T2 ON T1.store_id = T2.store_id JOIN address AS T3 ON T2.address_id = T3.address_id WHERE T3.city_id <= 100', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# <= #VALUE#'}"
