query
"{'hash': 'a449453b3f738ef5fb557a4e42771045112f484c', 'query': 'SELECT COUNT(Event_ID) , COUNT(Date), COUNT(Venue) FROM event WHERE Event_Attendance <= 10000', 'template': 'SELECT COUNT(#COLUMN#), COUNT(#COLUMN#), COUNT(#COLUMN#) FROM #TABLE# WHERE #COLUMN# <= #VALUE#'}"
"{'hash': 'd111c105d0174c401d53bdff18ba9ae114b42a4e', 'query': 'SELECT T1.Name AS News, T1.Event_Attendance AS Attendance FROM event AS T1 ORDER BY T1.Event_Attendance DESC', 'template': 'SELECT #COLUMN# AS #COLUMN#, #COLUMN# AS #COLUMN# FROM #TABLE# AS #TABLE# ORDER BY #COLUMN# DESC'}"
"{'hash': '27189384558b31b9391fdf99154d38d3bee1c057', 'query': ""SELECT T1.Name, COUNT(T2.Event_ID) FROM journalist AS T1 JOIN news_report AS T2 ON T1.journalist_ID = T2.journalist_ID WHERE T1.Nationality != 'American' LIMIT 10"", 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# != #VALUE# LIMIT #VALUE#'}"
"{'hash': '47d6414f596e1ecec39f6633c5b04801d7bd60a7', 'query': 'SELECT T1.Name, T2.Name FROM event AS T1 JOIN event AS T2 ON T1.Event_ID = T2.Event_ID WHERE T1.Event_Attendance = 1000', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE#'}"
"{'hash': 'aa0247d37562fbefb2353744ae27b9d8bdd2f3db', 'query': 'SELECT Name, Event_Attendance FROM event WHERE Event_Attendance >= 5000 ORDER BY Event_Attendance DESC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# WHERE #COLUMN# >= #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': '5b8fef18bd8792f325c22aa8be5c0a8d01b4f0a7', 'query': ""SELECT T1.Name, MAX(T1.Event_Attendance) FROM event AS T1 WHERE T1.Date BETWEEN '2000-01-01' AND '2020-12-31' OR T1.Venue = 'New York' OR T1.Event_Attendance > 1000 GROUP BY T1.Name"", 'template': 'SELECT #COLUMN#, MAX(#COLUMN#) FROM #TABLE# AS #TABLE# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# = #VALUE# OR #COLUMN# > #VALUE# GROUP BY #COLUMN#'}"
"{'hash': '7acbc53551429ae0ec4fa00fda2e2d9d71ca8a8e', 'query': ""SELECT SUM(T3.Event_Attendance) , COUNT(T1.journalist_ID) , COUNT(T3.Event_ID) FROM news_report AS T1 JOIN journalist AS T2 ON T1.journalist_ID = T2.journalist_ID JOIN event AS T3 ON T1.Event_ID = T3.Event_ID WHERE T2.Age >='40'"", 'template': 'SELECT SUM(#COLUMN#) , COUNT(#COLUMN#) , COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# >= #VALUE#'}"
"{'hash': 'bf0ae4f167e94f7a3c2e44c159dde6d25fda8198', 'query': 'SELECT COUNT(DISTINCT T1.Event_ID), COUNT(T1.Event_Attendance), T1.Event_Attendance FROM event AS T1 WHERE T1.Event_Attendance > 500 AND T1.Event_Attendance BETWEEN 100 AND 500 OR T1.Event_Attendance < 500', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(#COLUMN#), #COLUMN# FROM #TABLE# WHERE #COLUMN# > #VALUE# AND #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# < #VALUE#'}"
"{'hash': '37f20c80a574b0e646c04589b6fb8b9667383db3', 'query': ""SELECT Name, MAX(Event_Attendance) FROM event WHERE Date BETWEEN '2020-01-01' AND '2020-12-31' ORDER BY Name ASC LIMIT 10"", 'template': 'SELECT #COLUMN#, MAX(#COLUMN#) FROM #TABLE# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# ORDER BY #COLUMN# ASC LIMIT #VALUE#'}"
"{'hash': '1d16e3b14094ae712fbb0fd347c8014f5c6953a6', 'query': 'SELECT COUNT(T1.Event_ID), COUNT(T2.journalist_ID), AVG(T1.Event_Attendance) FROM event AS T1 JOIN news_report AS T2 ON T1.Event_ID = T2.Event_ID', 'template': 'SELECT COUNT(#COLUMN#), COUNT(#COLUMN#), AVG(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN#'}"
"{'hash': 'd3b950e1a5b9ab66aecdc55b19a914abae4ef39d', 'query': ""SELECT T1.Name, COUNT(DISTINCT T2.journalist_ID), COUNT(DISTINCT T3.journalist_ID) FROM event AS T1 JOIN news_report AS T2 ON T1.Event_ID = T2.Event_ID JOIN journalist AS T3 ON T2.journalist_ID = T3.journalist_ID WHERE T3.Age NOT IN (SELECT Age FROM journalist WHERE Years_working < 5) AND T2.Work_Type = 'Reporter' GROUP BY T1.Name ORDER BY COUNT(DISTINCT T2.journalist_ID) DESC"", 'template': 'SELECT #COLUMN#, COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# < #VALUE#) AND #COLUMN# = #VALUE# GROUP BY #COLUMN# ORDER BY COUNT(DISTINCT #COLUMN#) DESC'}"
"{'hash': '64b9174c2834121f72ebd7cc08216416954fc00f', 'query': 'SELECT COUNT(Name) FROM event AS event_name WHERE Event_Attendance >= 50000 LIMIT 10', 'template': 'SELECT COUNT(#COLUMN#) FROM #TABLE# AS #TABLE# WHERE #COLUMN# >= #VALUE# LIMIT #VALUE#'}"
"{'hash': '9bbc977d3a78a280087bfa727ae5e9ba8a4bf3b3', 'query': 'SELECT T1.Name, MIN(T2.Event_Attendance) FROM journalist AS T1 JOIN news_report AS T3 ON T1.journalist_ID = T3.journalist_ID JOIN event AS T2 ON T3.Event_ID = T2.Event_ID GROUP BY T1.Name HAVING T2.Event_Attendance > 10000', 'template': 'SELECT #COLUMN#, MIN(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# GROUP BY #COLUMN# HAVING #COLUMN# > #VALUE#'}"
"{'hash': 'de75bc528cd14dbed423daa54fac63981939ae95', 'query': ""SELECT Name FROM event WHERE Date BETWEEN '2020-01-01' AND '2020-12-31' OR Venue = 'New York' OR Name = 'Sports'"", 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# = #VALUE# OR #COLUMN# = #VALUE#'}"
"{'hash': '4f0e18ccfdfb1603a9bdb709feba9560f792efd1', 'query': ""SELECT T1.Venue, SUM(T3.Event_Attendance) FROM journalist AS T1 INNER JOIN news_report AS T2 ON T1.journalist_ID = T2.journalist_ID INNER JOIN event AS T3 ON T3.Event_ID = T2.Event_ID WHERE T2.Work_Type = 'Reporter' AND T3.Date > '2020-01-01' AND EXISTS (SELECT 1 FROM journalist WHERE journalist_ID = T1.journalist_ID AND Years_working > 5) GROUP BY T1.Venue ORDER BY T1.Venue ASC"", 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# INNER JOIN #TABLE# ON #COLUMN# = #COLUMN# INNER JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# AND #COLUMN# > #VALUE# AND EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN# AND #COLUMN# > #VALUE#) GROUP BY #COLUMN# ORDER BY #COLUMN# ASC'}"
"{'hash': '0075fb9354f0e44ae2985d25cb20dd5e280f40fa', 'query': 'SELECT T1.Name AS EventName, T2.Name AS JournalistName FROM event AS T1 JOIN news_report AS T3 ON T1.Event_ID = T3.Event_ID JOIN journalist AS T2 ON T3.journalist_ID = T2.journalist_ID ORDER BY T1.Name ASC', 'template': 'SELECT #COLUMN# AS #COLUMN#, #COLUMN# AS #COLUMN# FROM #TABLE# AS #TABLE# JOIN #TABLE# AS #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# AS #TABLE# ON #COLUMN# = #COLUMN# ORDER BY #COLUMN# ASC'}"
